category,generic_name,otc_brand,medicare_unit_cost,otc_unit_cost,markup_multiple,tot_claims,medicare_spending,est_otc_spend,savings
PPI / Heartburn,Omeprazole,Prilosec OTC,0.204,0.33,1.0,28144241.0,422372715.0,690382431.0,-268009716.0
Nasal Steroid,Fluticasone Propionate,Flonase,26.9718,0.25,108.0,963296.0,394517813.0,3633092.0,390884721.0
PPI / Heartburn,Dexlansoprazole,Prevacid 24HR,7.3584,0.48,15.0,799392.0,315328215.0,20579820.0,294748395.0
H2 Blocker / Heartburn,Famotidine,Pepcid AC,0.203,0.18,1.0,12748534.0,202810000.0,179442730.0,23367270.0
Nasal Steroid,Fluticasone Propionate,Flonase,0.6853,0.25,3.0,12165417.0,201536224.0,73534992.0,128001232.0
PPI / Heartburn,Omeprazole/Sodium Bicarbonate,Prilosec OTC,43.6195,0.33,132.0,84533.0,174703369.0,1350579.0,173352789.0
PPI / Heartburn,Esomeprazole Magnesium,Prilosec OTC,0.9553,0.33,3.0,2711609.0,172016821.0,62461004.0,109555817.0
PPI / Heartburn,Esomeprazole Magnesium,Nexium 24HR,0.9553,0.5,2.0,2711609.0,172016821.0,94637884.0,77378937.0
Nasal Antihistamine,Azelastine HCl,Astepro OTC,1.6517,0.3,6.0,2785552.0,103095649.0,28868740.0,74226909.0
PPI / Heartburn,Dexlansoprazole,Prevacid 24HR,10.6357,0.48,22.0,174167.0,87349224.0,3942207.0,83407018.0
Nasal Steroid,Triamcinolone Acetonide,Nasacort,0.372,0.23,2.0,6197096.0,75381353.0,165886222.0,-90504869.0
PPI / Heartburn,Esomeprazole Magnesium,Nexium 24HR,9.5002,0.5,19.0,113050.0,74209509.0,3908969.0,70300540.0
PPI / Heartburn,Esomeprazole Magnesium,Prilosec OTC,9.5002,0.33,29.0,113050.0,74209509.0,2579920.0,71629590.0
PPI / Heartburn,Lansoprazole,Prevacid 24HR,0.7845,0.48,2.0,1152106.0,57025404.0,40590793.0,16434611.0
