provider_id,hospital_name,state,control_type,operating_costs,gross_charges,ccr,markup
390325,OSS ORTHOPAEDIC HOSPITAL,PA,For-profit,128559543.0,316027621.0,0.40679843930477205,2.4582198538151303
231300,PAUL OLIVER MEMORIAL HOSPITAL,MI,Nonprofit,24440740.0,50748788.0,0.48160243748087145,2.0764014510198954
10175,EAMC-LANIER,AL,Government,22014525.0,33503365.0,0.6570839973835464,1.5218754435991693
10073,CLAY COUNTY HOSPITAL,AL,Government,20407576.0,22856114.0,0.8928716403847128,1.1199818145966969
390228,ST. CLAIR MEMORIAL HOSPITAL,PA,Nonprofit,375025026.0,1044706838.0,0.35897632939586444,2.785698994925208
100268,WEST BOCA MEDICAL CENTER,FL,For-profit,169473264.0,1029769947.0,0.1645739074962536,6.076297362160913
180020,MIDDLESBORO ARH,KY,Nonprofit,51000033.0,187293151.0,0.2723005765437734,3.6724123492233813
340168,WILMINGTON TREATMENT CENTER INC,NC,For-profit,23674124.0,53515971.0,0.44237493140131945,2.2605259227331915
30107,AZ SPINE & JOINT HOSPITAL,AZ,For-profit,43854806.0,179796891.0,0.24391303851855814,4.099821830245926
140088,UNIVERSITY OF CHICAGO HOSPITALS,IL,Nonprofit,2125958140.0,6201991122.0,0.34278638878709444,2.917268691847338
140125,GATEWAY REGIONAL,IL,For-profit,69795687.0,339916978.0,0.20533157069900757,4.870171676940439
50054,SAN GORGONIO MEMORIAL,CA,Government,101731627.0,326220850.0,0.3118489422120015,3.206680750323594
70007,LAWRENCE & MEMORIAL HOSPITAL,CT,Nonprofit,406119755.0,901841968.0,0.4503225281261251,2.2206306314746986
490059,BON SECOURS - ST. MARYS HOSPITAL,VA,Nonprofit,519686300.0,1410420632.0,0.36846192420134705,2.713984632652429
460015,LOGAN REGIONAL HOSPITAL,UT,Nonprofit,207887006.0,527591089.0,0.3940305481543112,2.537874296000973
450668,THE HOSPITALS OF PROVIDENCE SIERRA C,TX,For-profit,211869298.0,1088050266.0,0.1947238143499521,5.13547869498298
100007,ADVENTHEALTH ORLANDO,FL,Nonprofit,4607098838.0,14325040988.0,0.32161156410367964,3.10934093053204
360006,RIVERSIDE METHODIST HOSPITAL,OH,Nonprofit,1267423347.0,2364723162.0,0.5359711307297628,1.865772133358058
440057,CLAIBORNE MEDICAL CENTER,TN,Nonprofit,32650956.0,68411687.0,0.47727161003937824,2.095242999929313
310086,KENNEDY UNIVERSITY HOSPITAL,NJ,Nonprofit,700182846.0,1647825060.0,0.4249133375845128,2.353421066245316
261302,MADISON MEDICAL CENTER,MO,Government,22334995.0,35259489.0,0.6334463610632587,1.5786656321167747
30069,HAVASU REGIONAL MEDICAL CENTER,AZ,For-profit,183982904.0,973420264.0,0.18900665088270652,5.290819107844933
390073,UPMC ALTOONA,PA,Nonprofit,426029017.0,1543415200.0,0.276030077324624,3.622793608915141
220066,THE MERCY HOSPITAL,MA,Nonprofit,335035561.0,519339434.0,0.6451186624122212,1.5501024203218834
520045,THEDACARE REGIONAL MEDICAL CENTER -,WI,Nonprofit,223800604.0,376496428.0,0.5944295545879654,1.6822851291321805
410011,LANDMARK MEDICAL CENTER,RI,Nonprofit,122394957.0,386623255.0,0.31657422417593584,3.158816870208141
10034,COMMUNITY HOSPITAL INC.,AL,Nonprofit,16331229.0,21061757.0,0.775397275735353,1.2896614823048527
100069,ADVENTHEALTH CARROLLWOOD,FL,Nonprofit,220904660.0,867407693.0,0.25467223980454134,3.9266156404305823
60009,IH LUTHERAN HOSPITAL,CO,Nonprofit,424819216.0,1171125294.0,0.36274446310438924,2.756761582084366
280081,CHI HEALTH IMMANUEL,NE,Nonprofit,204999629.0,400925750.0,0.5113156962355249,1.9557389052640677
70027,MANCHESTER MEMORIAL HOSPITAL,CT,For-profit,242694064.0,392451276.0,0.6184055928512256,1.6170617011877144
100072,ADVENTHEALTH FISH MEMORIAL,FL,Nonprofit,202749333.0,596394429.0,0.33995846228805066,2.9415358372596963
50689,SAN RAMON REG. MEDICAL CENTER,CA,For-profit,150221906.0,759828940.0,0.19770490184277528,5.058043531946666
490033,WARREN MEMORIAL HOSPITAL,VA,Nonprofit,98203627.0,185741863.0,0.5287102509572653,1.8913951416478743
230195,ASCENSION MACOMB-OAKLAND HOSPITAL,MI,Nonprofit,419788376.0,712080957.0,0.5895233847687349,1.6962855517466735
330107,PECONIC BAY MEDICAL CENTER,NY,Nonprofit,301825672.0,467794045.0,0.6452105904853919,1.5498815654090552
454109,UBH EL PASO HOSPITAL,TX,For-profit,26871515.0,27256482.0,0.9858761303091133,1.0143262112314844
180101,GEORGETOWN COMMUNITY HOSPITAL,KY,For-profit,70713939.0,553778017.0,0.12769365491082685,7.831242677628239
490067,BON SECOURS SOUTHSIDE MEDICAL CENTER,VA,Nonprofit,253605213.0,1283309248.0,0.1976181605448853,5.060263678412635
310034,RIVERVIEW MEDICAL CENTER,NJ,Nonprofit,344712272.0,730250918.0,0.4720463384614328,2.1184360909552997
50735,WHITTIER HOSPITAL MEDICAL CENTER,CA,For-profit,108872174.0,273669160.0,0.3978240514934164,2.513674063310245
140053,ST. JOHNS HOSPITAL,IL,Nonprofit,478901882.0,1138376572.0,0.420688455629953,2.377055958197299
30013,YUMA REGIONAL MEDICAL CENTER,AZ,Nonprofit,574393561.0,1867601720.0,0.3075567744711651,3.2514322005082503
490113,SENTARA NORTHERN VIRGINIA MED CTR,VA,Nonprofit,263139023.0,615610890.0,0.4274437429136447,2.339489152849823
440104,ERLANGER MEDICAL CENTER,TN,Nonprofit,912117492.0,2204130180.0,0.4138219694446541,2.4164980929890993
380014,GOOD SAMARITAN HOSPITAL CORVALLIS,OR,Nonprofit,397307870.0,527877702.0,0.7526513593862694,1.3286364098450907
520215,MARSHFIELD MEDICAL CENTER - RIVER RE,WI,Nonprofit,41734608.0,97709355.0,0.4271301146138975,2.3412069666498367
230142,COREWELL HEALTH WAYNE,MI,Nonprofit,173196100.0,546445371.0,0.31695043858281674,3.155067412026021
220065,BAYSTATE NOBLE HOSPITAL,MA,Nonprofit,88428380.0,163803983.0,0.5398426728121746,1.8523915399106032
390044,READING HOSPITAL AND MEDICAL CENTER,PA,Nonprofit,1005719105.0,2342629359.0,0.4293120894844894,2.32930780309677
140174,PRESENCE MERCY MEDICAL CENTER,IL,Nonprofit,162966244.0,531337218.0,0.30670963463357465,3.2604127392173314
310048,ROBERT WOOD JOHNSON UNIV HOSP @ SOM,NJ,Nonprofit,359182459.0,911495767.0,0.3940582852975553,2.537695659018805
141335,HARVARD MEMORIAL HOSPITAL,IL,Nonprofit,24639299.0,58650777.0,0.42010183428601466,2.3803752290192994
100073,HOLY CROSS HOSPITAL,FL,Nonprofit,508325858.0,1794444128.0,0.28327761788078365,3.5301059345283194
10148,EVERGREEN MEDICAL CENTER,AL,For-profit,14536251.0,23540772.0,0.6174925359287282,1.619452773620929
340159,PERSON MEMORIAL HOSPITAL INC,NC,For-profit,30005200.0,169970766.0,0.1765315336638537,5.664710316878407
40014,WHITE COUNTY MEDICAL CENTER,AR,Nonprofit,203575812.0,425483336.0,0.47845777913144877,2.090048576104906
180124,GREENVIEW REGIONAL HOSPITAL,KY,For-profit,102970005.0,641135172.0,0.16060576536269017,6.226426540427962
230117,ASCENSION BORGESS HOSPITAL,MI,Nonprofit,387488557.0,786311757.0,0.4927925260565575,2.0292515554207706
330119,LENOX HILL HOSPITAL,NY,Nonprofit,1186639222.0,1860504129.0,0.6378052074723453,1.5678768192612464
450424,SAN JACINTO METHODIST HOSPITAL,TX,Nonprofit,445166985.0,1590343115.0,0.2799188305977607,3.572464195654581
170020,HUTCHINSON REGIONAL MEDICAL CENTER,KS,Nonprofit,133107858.0,344369335.0,0.3865264542210183,2.5871450429320255
50561,KFH - WEST LOS ANGELES,CA,Nonprofit,510847951.0,1231076961.0,0.4149602073497012,2.409869626745356
520030,ASPIRUS WAUSAU HOSPITAL,WI,Nonprofit,544470581.0,1179968175.0,0.46142819148491016,2.167184447014227
230133,OTSEGO MEMORIAL HOSPITAL,MI,Nonprofit,103220575.0,231050585.0,0.44674448671056166,2.238415984410085
190167,MERCY REGIONAL MEDICAL CENTER,LA,For-profit,37639988.0,125236925.0,0.3005502410730701,3.3272307366304155
50239,ADVENTIST HEALTH GLENDALE,CA,Nonprofit,468527670.0,1227373884.0,0.38173182280290396,2.6196401249898433
80007,BEEBE MEDICAL CENTER,DE,Nonprofit,474785898.0,1292926099.0,0.3672181251250308,2.7231771298312655
310061,VIRTUA WILLINGBORO HOSPITAL,NJ,Nonprofit,109263036.0,465361103.0,0.2347919396262906,4.259089990873034
