provider_number,hospital_name,state,ownership,beds,discharges,cmi,teaching,ag_cost_total,med_records_cost,nursing_admin_cost,full_overhead,total_hospital_costs,admin_per_discharge,admin_pct_of_total,overhead_per_discharge,overhead_pct_of_total,commercial_payer_pct,medicare_pct,ag_purchased_services,ag_it,ag_insurance,ag_other
144042,2615 WASHINGTON ST,IL,For-Profit,161,10311,1.0,No,1364356,71101,0,3693932,8111462,132.32,16.82,358.25,45.54,0.903,0.059,0,0,0,0
043036,4313 S PLEASANT CROSSING BLVD,AR,For-Profit,36,895,1.0,No,949059,20746,0,1434593,2832968,1060.4,33.5,1602.9,50.64,0.403,0.585,0,0,0,0
454155,600 ELIZABETH ST BUILDING B  4TH FLO,TX,For-Profit,42,1041,1.0,No,872788,13662,0,1148150,1965696,838.41,44.4,1102.93,58.41,0.939,0.061,0,0,0,0
313030,61 WEST JIMMIE LEEDS ROAD,NJ,Nonprofit,80,737,1.0,No,1306509,76623,0,4026373,9007164,1772.74,14.51,5463.19,44.7,0.262,0.738,0,0,0,0
262017,1630 EAST PRIMROSE STREET,MO,For-Profit,44,3660,1.0,No,1484432,64,0,2175778,6632473,405.58,22.38,594.47,32.8,0.501,0.317,0,0,0,0
030153,5656 S POWER RD,AZ,For-Profit,14,151,1.0,No,915215,0,0,1610686,3575513,6061.03,25.6,10666.79,45.05,0.742,0.258,0,0,0,0
450697,7400 BARLITE BLVD,TX,For-Profit,151,19177,1.0,No,3095760,370860,0,19368554,58678632,161.43,5.28,1009.99,33.01,0.847,0.126,0,0,0,0
523030,900 WEST CLAIREMONT AVENUE  8TH FL,WI,For-Profit,36,1251,1.0,No,672207,17069,0,1283510,3272087,537.34,20.54,1025.99,39.23,0.366,0.634,0,0,0,0
363045,7810 BETHANY RD,OH,For-Profit,36,608,1.0,No,1757704,18513,0,2151853,3486905,2890.96,50.41,3539.23,61.71,0.265,0.711,0,0,0,0
110028,1350 WALTON WAY,GA,Government,259,45857,1.0,No,33726321,1134101,0,80078103,245318306,735.47,13.75,1746.26,32.64,0.609,0.285,0,0,0,0
341323,434 HOSPITAL DRIVE,NC,Nonprofit,23,786,2.0,No,1616146,306107,0,5206444,16937015,2056.17,9.54,6623.97,30.74,0.597,0.388,0,0,0,0
444032,1444 OLD WEISGARBER ROAD,TN,For-Profit,90,5769,1.0,No,4299431,328013,0,7774125,13250853,745.26,32.45,1347.57,58.67,0.903,0.077,0,0,0,0
030010,1601 W. ST. MARYS ROAD,AZ,For-Profit,317,27891,2.0,No,26641598,990977,0,44138151,133680629,955.2,19.93,1582.52,33.02,0.759,0.182,0,0,0,0
030011,350 NORTH WILMOT ROAD,AZ,For-Profit,325,32520,2.0,No,33793175,1420046,0,55641037,177982160,1039.15,18.99,1710.98,31.26,0.768,0.196,0,0,0,0
460003,1050 EAST SOUTH TEMPLE,UT,Nonprofit,82,393,1.0,No,6527178,179088,0,11577728,22430116,16608.6,29.1,29459.87,51.62,0.702,0.27,0,0,0,0
250172,401 GETWELL DRIVE,MS,Government,15,552,1.0,No,1124389,308835,0,2510119,6361658,2036.94,17.67,4547.32,39.46,0.659,0.322,0,0,0,0
344034,432 HOSPITAL DRIVE,NC,Nonprofit,37,4694,2.0,No,1097948,53871,0,3131441,7312945,233.9,15.01,667.12,42.82,0.767,0.054,0,0,0,0
053045,10 ADVANTAGE COURT,CA,For-Profit,50,490,1.0,No,337784,12005,0,611571,1961751,689.36,17.22,1248.1,31.17,0.539,0.461,0,0,0,0
033045,13451 N 94TH DR,AZ,For-Profit,40,1103,1.0,No,828123,0,0,1449052,3224512,750.79,25.68,1313.74,44.94,0.373,0.611,0,0,0,0
050660,1441 EASTLAKE AVE,CA,Nonprofit,53,12430,1.0,No,67141809,3687327,0,122265052,481568082,5401.59,13.94,9836.29,25.39,0.661,0.249,0,0,0,0
014012,201 UNIVERSITY BOULEVARD,AL,Government,126,23518,1.0,No,6314929,578607,0,18167715,33629149,268.51,18.78,772.5,54.02,0.461,0.006,0,0,0,0
370030,710 SOUTH 13TH,OK,Government,34,408,2.0,No,3170333,131960,0,4353013,7675843,7770.42,41.3,10669.15,56.71,0.458,0.439,0,0,0,0
523031,1110 KEPLER DRIVE,WI,For-Profit,40,1171,1.0,No,683996,15888,0,1320063,3211364,584.11,21.3,1127.3,41.11,0.621,0.379,0,0,0,0
110111,2460 WASHINGTON RD  NE,GA,Government,25,1423,1.0,No,2125056,98870,0,4591744,12282927,1493.36,17.3,3226.81,37.38,0.612,0.325,0,0,0,0
373038,10240 BROADWAY EXT.,OK,For-Profit,40,5912,1.0,No,2762645,0,0,4746884,10061445,467.29,27.46,802.92,47.18,0.27,0.725,0,0,0,0
373037,7909 SOUTH 101ST EAST AVENUE,OK,For-Profit,40,7867,1.0,No,3154297,0,0,5904982,13000887,400.95,24.26,750.6,45.42,0.293,0.69,0,0,0,0
450085,1301 MONTGOMERY ROAD,TX,Government,25,378,2.0,No,3342359,205884,107955,8023009,18892373,8842.22,17.69,21224.89,42.47,0.587,0.413,0,0,0,0
031313,1171 W TARGET RANGE ROAD,AZ,For-Profit,25,1553,2.0,No,4581163,157007,0,8519799,20286661,2949.88,22.58,5486.03,42.0,0.912,0.077,0,0,0,0
454156,11931 HIGHWAY 6 S,TX,For-Profit,60,2865,1.0,No,1046542,80578,0,1852129,4502865,365.29,23.24,646.47,41.13,0.643,0.357,0,0,0,0
250060,809 S. MAIN STREET,MS,Government,12,545,2.0,No,1119845,37400,0,1969283,4526501,2054.76,24.74,3613.36,43.51,0.292,0.651,0,0,0,0
180106,723 BURKESVILLE ROAD,KY,Nonprofit,20,797,2.0,No,1175853,85588,0,2624173,6832583,1475.35,17.21,3292.56,38.41,0.582,0.402,0,0,0,0
110189,2855 OLD HIGHWAY 5 NORTH,GA,For-Profit,45,546,2.0,No,5056277,43328,0,7200762,15257845,9260.58,33.14,13188.21,47.19,0.623,0.33,0,0,0,0
433027,4700 W. 69TH STREET,SD,For-Profit,40,11642,1.0,No,3788081,66913,0,7698311,16458666,325.38,23.02,661.25,46.77,0.219,0.752,0,0,0,0
123025,226 N. KUAKINI STREET,HI,Nonprofit,82,20767,1.0,No,10453984,677902,0,24662967,48497319,503.39,21.56,1187.6,50.85,0.544,0.222,0,0,0,0
471301,44 SOUTH MAIN STREET,VT,Nonprofit,25,2286,2.0,No,10068038,615954,0,21599117,51182346,4404.22,19.67,9448.43,42.2,0.392,0.454,0,0,0,0
421301,ABBEVILLE AREA MEDICAL CENTER,SC,Government,19,1735,2.0,No,6902943,378267,0,15313715,46779882,3978.64,14.76,8826.35,32.74,0.688,0.309,0,0,0,0
013301,1700 CENTER STREET,AL,Government,127,23488,1.0,No,30137541,5300753,0,56336345,245316606,1283.1,12.29,2398.52,22.96,0.331,0.004,0,0,0,0
201312,118 NORTHPORT AVENUE,ME,Nonprofit,21,4358,2.0,No,20391460,36,0,39038557,107531557,4679.09,18.96,8957.91,36.3,0.492,0.324,0,0,0,0
