State,Issuer_Name,Parent_Company,Claims_Received,Claims_Denied,Denial_Rate,Internal_Appeals_Rate,Internal_Appeals_Overturn_Rate
AK,"Moda Health Plan, Inc.",OREGON DENTAL SERV GRP,204058,95902,0.4699742230150251,0.0003648912102920172,0.4857142857142857
NC,CareSource North Carolina Co.,CARESOURCE GRP,207708,76854,0.3700098214801548,0.00946081170645492,0.1304945054945055
SC,Select Health of South Carolina,INDEPENDENCE BLUE CROSS GRP,141484,51650,0.3650589465946679,0.0005612975651298727,0.5517241379310345
OH,Oscar Buckeye State Insurance Corp.,OSCAR HEALTH INC GRP,1910531,694493,0.363507841537248,0.02675412630452999,0.2512159923031696
MI,"UnitedHealthcare Community Plan, Inc.",UNITEDHEALTH GRP,1110639,395425,0.35603377875259196,0.00169622633878013,0.23695976154992549
LA,UnitedHealthcare Insurance Company,UNITEDHEALTH GRP,1553306,549914,0.3540281180913484,0.000947107413978651,0.3493282149712092
AZ,"Oscar Health Plan, Inc.",OSCAR HEALTH INC GRP,344800,119454,0.34644431554524363,0.0368205145239242,0.2070365358592693
IA,Oscar Insurance Company,OSCAR HEALTH INC GRP,655352,225302,0.34378776596394,0.03201631583805476,0.2975013728720483
OK,"UnitedHealthcare of Oklahoma, Inc.",UNITEDHEALTH GRP,378926,127738,0.3371053978877142,0.00170604393454425,0.19724770642201836
OH,"UnitedHealthcare of Ohio, Inc.",UNITEDHEALTH GRP,1235593,409921,0.33176053927142674,0.00230103034483767,0.3495762711864407
TX,Community First Insurance Plans,COMMUNITY FIRST GRP,119190,38695,0.32464971893615235,,
KS,Oscar Insurance Company,OSCAR HEALTH INC GRP,380721,123477,0.3243241113571355,0.03278583549450901,0.3515625
MI,Oscar Insurance Company,OSCAR HEALTH INC GRP,63957,20731,0.3241396563315978,0.02848267622461171,0.3070469798657718
NC,"Oscar Health Plan of North Carolina, Inc",OSCAR HEALTH INC GRP,107392,33542,0.312332389749702,0.02583102084194367,0.3657142857142857
MO,UnitedHealthcare Insurance Company,UNITEDHEALTH GRP,1458708,448480,0.3074501545203015,0.00249294889788934,0.3449508489722967
NC,"AmeriHealth Caritas North Carolina, Inc.",INDEPENDENCE BLUE CROSS GRP,456084,139608,0.30610150761701793,0.0005298771973792561,0.6351351351351351
MS,Cigna Health and Life Insurance Company,CIGNA HLTH GRP,2609050,794990,0.30470477760104253,0.00032322368462423673,0.4863813229571984
FL,"AmeriHealth Caritas Florida, Inc.",INDEPENDENCE BLUE CROSS GRP,92022,28025,0.30454673882332484,,
WV,CareSource West Virginia Co.,CARESOURCE GRP,962053,292979,0.3045351971253143,0.003388373069088,0.06545820745216516
TX,Oscar Insurance Company,OSCAR HEALTH INC GRP,3521352,1050350,0.29828031960451556,0.03616975293203861,0.23642530984996735
DE,"AmeriHealth Caritas VIP Next, Inc.",INDEPENDENCE BLUE CROSS GRP,182083,53852,0.29575523250385816,0.0005755021720565849,0.4516129032258064
SC,"UnitedHealthcare of South Carolina, Inc.",UNITEDHEALTH GRP,605443,177319,0.2928748040690866,0.00227113906359189,0.31017369727047145
OK,Medica Insurance Company,MEDICA GRP,445895,129285,0.28994494219491135,0.00111302627205763,0.6388888888888888
OH,"Summa Insurance Company, Inc.",SUMMA HLTH GRP,215623,62439,0.28957485982478676,0.00508901793121051,0.768025078369906
NH,Harvard Pilgrim Health Care of NE,POINT32HEALTH INC GRP,117250,33793,0.28821321961620466,0.00248366399574229,0.3333333333333333
FL,"AvMed, Inc.",SENTARA HLTH MGMT GRP,469288,134771,0.28718185847496636,0.00018549984789012472,
DE,Celtic Insurance Company,CENTENE CORP GRP,27423,7861,0.2866571855741531,,
AZ,"UnitedHealthcare of Arizona, Inc.",UNITEDHEALTH GRP,3109278,883016,0.2839939046942731,0.00294906499820703,0.380897583429229
TX,"Moda Health Plan, Inc.",OREGON DENTAL SERV GRP,150551,42672,0.2834388346806066,0.000913648503022068,0.358974358974359
MO,Oscar Insurance Company,OSCAR HEALTH INC GRP,668238,189300,0.2832823036103903,0.03096282891467962,0.31824324324324327
