industry,n_plans,n_plans_with_broker,total_covered_lives,total_broker_comp_usd,total_premium_usd,per_life_p50,per_life_mean,ratio_p50,ratio_mean
Manufacturing,8657,7415,10454943,819191139.0,8264046675.0,198.20552736027065,266.709633103433,0.038912689569885084,0.06612569126198621
Professional/Technical Services,6827,6218,8015655,694524461.0,6777265388.0,236.48955223880597,290.8630793170742,0.04156297774633378,0.06614812568637457
Health Care & Social Assistance,6892,6138,6773404,584229142.0,4722326865.0,205.08450704225353,246.0714823516903,0.040766485839813536,0.06783666191790858
Finance & Insurance,3228,2589,4561994,316079485.0,4066280570.0,212.17117964875925,285.06952982284105,0.03418544100261578,0.06570568922965725
Retail Trade,3020,2684,4004051,250750480.0,1599433402.0,204.74480712166172,252.12907974522224,0.04645232551753865,0.08000922594385941
Administrative & Waste Services,1600,1437,2311538,221029545.0,1714370904.0,219.47467886239815,281.81163114175257,0.041740653020245336,0.06865887776058652
Construction,3173,2618,2335186,208166486.0,1839516198.0,200.80536912751677,234.1943740966869,0.04208943962922491,0.060471105265001046
Other Services,1854,1620,1204674,192108403.0,1023112863.0,235.2656774540083,269.06839379036313,0.0481646462944508,0.06425785701879254
Wholesale Trade,2463,2170,1439505,185264512.0,1267452148.0,209.46783625730995,250.72088787421225,0.04297758916420386,0.07524030644317965
Real Estate & Rental,1406,1289,901647,182793031.0,690577432.0,237.80340583628754,282.57831247228467,0.04195142033758748,0.07002954315066091
Transportation & Warehousing,1576,1319,2923334,181393533.0,998595533.0,210.16778647263217,272.32432151737567,0.04541024668457824,0.07280235819726825
Educational Services,1745,1514,1413664,159171572.0,1058894532.0,235.93814432989691,275.8205095357344,0.04044955425373721,0.07117304576172255
Information,1458,1291,1841057,143566879.0,668687521.0,243.59191176470588,273.533139964708,0.03999976706209227,0.06611678431456025
Accommodation & Food Services,1432,1183,1111375,104673357.0,650390182.0,208.96850393700788,239.3410803460299,0.04945476083988175,0.059994957563223116
"Arts, Entertainment, Recreation",825,715,558335,80133227.0,410632936.0,231.6676985804893,406.9441029633204,0.048615683851164486,0.09927424413718337
Management of Companies,491,377,1394046,40134168.0,259968729.0,181.59537572254337,583.4534897878156,0.04109214588687116,0.06799419122429448
"Mining, Quarrying, Oil & Gas",408,330,285965,32527609.0,632523351.0,182.41787755960462,254.15722906174744,0.04721454039080701,0.05234078779323359
Utilities,367,264,449375,29209170.0,615999349.0,170.95324675324676,217.36926587936804,0.030280690674937653,0.05963487398738329
"Agriculture, Forestry, Fishing",426,386,177414,25076644.0,175438163.0,190.86039719626166,257.29241973029747,0.04367935204296251,0.0590200487133497
Public Administration,56,52,574839,8561109.0,34564813.0,198.1432312163226,3842.9731208859857,0.05948209840629045,0.28936822335809165
Unknown / Other,91,71,151978,8448492.0,218344368.0,222.16931216931218,251.0010023608982,0.03483297362958528,0.03926620858300863
