key,ACK_ID,participants,fund_type,broker_tot,broker_comm,broker_fees,premium,covered,sc_total,sc_direct,sc_indirect,broker_pct,admin_per_p
161291766|520,20240618095431NAL0002010769001,369.0,mixed,3483.0,3244.0,239.0,2183946.0,421.0,10576.0,10576.0,0.0,0.001594819652134256,28.661246612466126
383397595|501,20240701115506NAL0003783681002,183.0,fully_insured,29335.0,28495.0,840.0,577608.0,104.0,49907.0,49907.0,0.0,0.050787038960679216,272.7158469945355
873522010|501,20240701205506NAL0006311952001,149.0,mixed,23108.0,3362.0,19746.0,1927843.0,372.0,9230.0,9230.0,0.0,0.011986453253714125,61.946308724832214
832296038|504,20240702124640NAL0010319554001,599.0,mixed,207634.0,206442.0,1192.0,4947055.0,1908.0,3249.0,3249.0,0.0,0.041971233390370635,5.424040066777963
436078303|501,20240701134008NAL0002826003002,34732.0,mixed,19176539.0,19176539.0,0.0,400774791.0,67427.0,1615004.0,1615004.0,0.0,0.047848665711112556,46.49902107566509
530196523|510,20240701110347NAL0003736865001,398.0,mixed,32252.0,32252.0,0.0,225131.0,397.0,272897.0,272897.0,0.0,0.14325881375732352,685.6708542713568
221753284|501,20240703103508NAL0006265185004,400.0,fully_insured,95120.0,26779.0,68341.0,765124.0,675.0,395518.0,395518.0,0.0,0.12431971811105128,988.795
383082107|501,20240703103508NAL0006265185006,115.0,fully_insured,40093.0,40093.0,0.0,1263527.0,228.0,57791.0,57791.0,0.0,0.031731019598314876,502.5304347826087
383014011|501,20240703103508NAL0006265185005,294.0,mixed,63737.0,61457.0,2280.0,2070446.0,505.0,114434.0,114434.0,0.0,0.03078418852749601,389.2312925170068
381629836|501,20240617111943NAL0001829856001,438.0,mixed,90109.0,86308.0,3801.0,2721020.0,683.0,7545.0,7545.0,0.0,0.03311589036464267,17.226027397260275
581943683|501,20240622144317NAL0005730800001,154.0,fully_insured,69377.0,0.0,69377.0,989982.0,173.0,66059.0,66059.0,0.0,0.07007905194235854,428.95454545454544
934004615|501,20240503144941NAL0029915553001,225.0,mixed,45009.0,3495.0,41514.0,469570.0,183.0,23224.0,23224.0,0.0,0.09585152373448048,103.21777777777778
570945509|501,20240618131135NAL0002204657001,239.0,mixed,61406.0,61406.0,0.0,2436872.0,238.0,14307.0,14307.0,0.0,0.02519869734643428,59.86192468619247
621310217|502,20240617113015NAL0001845488003,569.0,fully_insured,259420.0,30749.0,228671.0,3125434.0,900.0,249611.0,249611.0,0.0,0.08300287256105872,438.68365553602814
440545878|525,20240617153553NAL0001072627001,417.0,mixed,122900.0,81760.0,41140.0,4816669.0,357.0,29456.0,29456.0,0.0,0.025515558573777852,70.6378896882494
742139516|501,20240610114311NAL0057148466001,4047.0,fully_insured,25495.0,2268.0,23227.0,31222984.0,4006.0,41063.0,41063.0,0.0,0.00081654591374098,10.146528292562392
381599388|505,20240610115150NAL0014472275001,347.0,mixed,28228.0,21700.0,6528.0,623578.0,286.0,23579.0,21700.0,1879.0,0.04526779328327812,67.95100864553314
420279585|502,20240711151218NAL0033465298001,1769.0,mixed,88100.0,88100.0,0.0,19270341.0,2343.0,133824.0,66912.0,66912.0,0.0045717924763241085,75.64951950254381
201751466|501,20240419090116NAL0005931169001,192.0,mixed,64000.0,64000.0,0.0,451673.0,192.0,32541.0,32405.0,136.0,0.14169543010098012,169.484375
362170155|503,20240604160008NAL0031725312001,1299.0,mixed,137019.0,51131.0,85888.0,17986033.0,2166.0,64451.0,64451.0,0.0,0.007618077871868688,49.615858352578904
920042304|506,20240613085503NAL0014409251001,1368.0,fully_insured,93272.0,0.0,93272.0,19898771.0,1368.0,93272.0,93272.0,0.0,0.004687324659397306,68.18128654970761
450386653|501,20240604085542NAL0019195153001,712.0,mixed,9402.0,9288.0,114.0,4585840.0,797.0,24007.0,0.0,24007.0,0.0020502241683094044,33.717696629213485
410138390|501,20240611165533NAL0015359635001,115.0,mixed,14229.0,14229.0,0.0,653169.0,125.0,20773.0,20773.0,0.0,0.02178456111664822,180.63478260869564
630947302|501,20240530123017NAL0022637088001,192.0,mixed,76140.0,76140.0,0.0,1877084.0,628.0,1575.0,1575.0,0.0,0.040562915671328505,8.203125
351904483|502,20240711094038NAL0009232595001,321.0,fully_insured,109248.0,109248.0,0.0,2779524.0,237.0,15457.0,15457.0,0.0,0.03930457157412564,48.15264797507788
010100490|501,20240711094117NAL0018155985001,196.0,fully_insured,56280.0,56280.0,0.0,2968656.0,435.0,76662.0,76662.0,0.0,0.018958073956699597,391.1326530612245
570401494|501,20240605150212NAL0020998641001,152.0,mixed,12228.0,12228.0,0.0,516150.0,108.0,54639.0,33683.0,20956.0,0.023690787561755303,359.4671052631579
362914777|501,20240604142809NAL0019617041003,285.0,mixed,201851.0,99287.0,102564.0,682928.0,285.0,21995.0,21995.0,0.0,0.29556702902795023,77.17543859649123
261328487|501,20240611171844NAL0028416273001,93.0,fully_insured,2500.0,0.0,2500.0,810603.0,134.0,144472.0,144225.0,247.0,0.003084123794261803,1553.4623655913979
421527584|505,20240711163006NAL0016575297002,264.0,fully_insured,28551.0,28551.0,0.0,2213585.0,137.0,77055.0,77055.0,0.0,0.012898081618731605,291.875
590904473|501,20240514065254NAL0032925491001,3724.0,mixed,289217.0,172882.0,116335.0,1485789.0,3095.0,829327.0,829327.0,0.0,0.1946554995359368,222.69790547798067
205663915|501,20240529093236NAL0011809441001,1906.0,mixed,143221.0,17886.0,125335.0,1072746.0,2433.0,96324.0,48162.0,48162.0,0.13350877094857497,50.53725078698846
340968235|501,20240514053005NAL0045332960001,333.0,mixed,110612.0,73741.0,36871.0,2482202.0,252.0,14600.0,11910.0,2690.0,0.04456204611872845,43.84384384384384
311323837|501,20240514145400NAL0047605329001,201.0,mixed,186938.0,168492.0,18446.0,1979569.0,2105.0,29976.0,29976.0,0.0,0.09443368733294975,149.13432835820896
311323837|501,20240514145706NAL0033370339001,225.0,mixed,186938.0,168492.0,18446.0,1979569.0,2105.0,38075.0,38075.0,0.0,0.09443368733294975,169.22222222222223
311323837|501,20240514145707NAL0046252912001,257.0,mixed,186938.0,168492.0,18446.0,1979569.0,2105.0,46156.0,46156.0,0.0,0.09443368733294975,179.5953307392996
431326059|501,20240429133006NAL0011798353001,206.0,fully_insured,40524.0,40524.0,0.0,2514155.0,320.0,21229.0,21229.0,0.0,0.01611833797041153,103.05339805825243
