hcpcs_cd,max_share,max_share_measure,n_measures,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,lv_paid,lv_alowd,patient_oop
0146T,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0147T,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0148T,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0149T,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20552,0.35,spinj,1,9450373.299984885,12501639.580006765,275695.0,0.0,0.0,0.0,9450373.299984885,12501639.580006765,3307630.65499471,4375573.853002368,1067943.1980076577
20553,0.35,spinj,1,14543409.03991267,19018434.410024427,356867.0,0.0,0.0,0.0,14543409.03991267,19018434.410024427,5090193.163969435,6656452.043508549,1566258.8795391144
22520,0.55,vert,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22521,0.55,vert,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22523,0.55,vert,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22524,0.55,vert,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29877,0.55,arth,1,1443917.3299998,1822666.6299999,2570.0,1631556.8299999947,2067471.199999995,731.0,3075474.159999795,3890137.829999895,1691510.7879998873,2139575.806499942,448065.01850005495
29879,0.55,arth,1,3308666.41000649,4169831.69996718,6733.0,2950209.039999986,3726580.8999999915,1329.0,6258875.450006476,7896412.599967171,3442381.497503562,4343026.929981945,900645.4324783832
29880,0.55,arth,1,25591153.400006212,32312447.85016891,42160.0,23457539.909999926,29602216.639999896,10240.0,49048693.31000614,61914664.49016881,26976781.32050338,34053065.46959285,7076284.149089467
29881,0.55,arth,1,31639946.80006198,39962081.62995495,55095.0,32480967.469999917,41037771.15999985,14320.0,64120914.270061895,80999852.7899548,35266502.84853405,44549919.03447514,9283416.185941093
3100F,0.55,ctdsync,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35301,0.3,cea,1,19925614.37005384,25069204.16014112,29288.0,0.0,0.0,0.0,19925614.37005384,25069204.16014112,5977684.311016152,7520761.248042337,1543076.937026185
35450,0.65,renlstent,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35471,0.65,renlstent,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37191,0.55,ivc,1,3873693.5799902603,4877360.79002904,19045.0,7623116.329999981,9604116.869999973,1903.0,11496809.909990242,14481477.660029013,6323245.450494633,7964812.713015958,1641567.2625213247
37192,0.55,ivc,1,5803.72999998,7263.59000004,22.0,0.0,0.0,0.0,5803.72999998,7263.59000004,3192.051499989,3994.974500022,802.9230000329999
37205,0.65,renlstent,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37207,0.65,renlstent,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37236,0.65,renlstent,1,5544381.620062981,6972923.750027319,10511.0,35475947.709999956,41935246.4699996,4031.0,41020329.33006294,48908170.22002692,26663214.06454091,31790310.643017497,5127096.578476585
45330,0.15,colon,2,2671673.2300135307,3536596.59004293,46331.0,0.0,0.0,0.0,2671673.2300135307,3536596.59004293,400750.9845020296,530489.4885064395,129738.50400440989
45331,0.15,colon,2,4114239.81983113,5269627.499930089,36534.0,0.0,0.0,0.0,4114239.81983113,5269627.499930089,617135.9729746695,790444.1249895134,173308.1520148439
45332,0.15,colon,2,24773.559999881003,31799.310000179998,293.0,0.0,0.0,0.0,24773.559999881003,31799.310000179998,3716.0339999821504,4769.896500026999,1053.8625000448487
45333,0.15,colon,2,59006.749999871,75131.25000052,542.0,0.0,0.0,0.0,59006.749999871,75131.25000052,8851.012499980648,11269.687500078,2418.6750000973516
45334,0.15,colon,2,386782.43000358,493588.77999494004,3244.0,0.0,0.0,0.0,386782.43000358,493588.77999494004,58017.364500537,74038.316999241,16020.952498703999
45335,0.15,colon,2,220185.73000041198,278685.92999871,2999.0,0.0,0.0,0.0,220185.73000041198,278685.92999871,33027.85950006179,41802.8894998065,8775.029999744707
45336,0.15,colon,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45337,0.15,colon,2,143854.280000055,183639.7499931,1665.0,0.0,0.0,0.0,143854.280000055,183639.7499931,21578.14200000825,27545.962498965,5967.820498956749
45338,0.15,colon,2,1155454.78001546,1466333.20001502,6550.0,0.0,0.0,0.0,1155454.78001546,1466333.20001502,173318.217002319,219949.980002253,46631.762999934
45339,0.15,colon,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45340,0.15,colon,2,108148.069999585,139545.25999976997,1076.0,0.0,0.0,0.0,108148.069999585,139545.25999976997,16222.21049993775,20931.788999965494,4709.578500027745
45341,0.15,colon,2,185059.49999285,239410.54000465,1715.0,0.0,0.0,0.0,185059.49999285,239410.54000465,27758.9249989275,35911.5810006975,8152.656001769999
45342,0.15,colon,2,55667.28000066001,71617.19000097,393.0,0.0,0.0,0.0,55667.28000066001,71617.19000097,8350.092000099,10742.5785001455,2392.4865000464997
