hcpcs_cd,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,low_value_share_pass1,primary_measure,max_share_v2,primary_measure_v2,low_value_share_v2,lv_paid_v2,lv_alowd_v2,patient_oop_v2,delta_v_pass1_dedup,share_changed
0146T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True
0147T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True
0148T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True
0149T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True
20552,9450373.299984885,12501639.580006765,275695.0,0.0,0.0,0.0,9450373.299984885,12501639.580006765,0.35,spinj,0.35,spinj,0.35,3307630.65499471,4375573.853002368,1067943.1980076577,0.0,False
20553,14543409.03991267,19018434.410024427,356867.0,0.0,0.0,0.0,14543409.03991267,19018434.410024427,0.35,spinj,0.35,spinj,0.35,5090193.163969435,6656452.043508549,1566258.8795391144,0.0,False
22520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,vert,0.55,vert,0.55,0.0,0.0,0.0,0.0,False
22521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,vert,0.55,vert,0.55,0.0,0.0,0.0,0.0,False
22523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,vert,0.55,vert,0.55,0.0,0.0,0.0,0.0,False
22524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,vert,0.55,vert,0.55,0.0,0.0,0.0,0.0,False
29877,1443917.3299998,1822666.6299999,2570.0,1631556.8299999947,2067471.199999995,731.0,3075474.159999795,3890137.829999895,0.55,arth,0.65,arth,0.65,1999058.2039998667,2528589.589499932,529531.385500065,307547.4159999795,True
29879,3308666.41000649,4169831.69996718,6733.0,2950209.039999986,3726580.8999999915,1329.0,6258875.450006476,7896412.599967171,0.55,arth,0.65,arth,0.65,4068269.042504209,5132668.189978662,1064399.1474744529,625887.5450006472,True
29880,25591153.400006212,32312447.85016891,42160.0,23457539.909999926,29602216.639999896,10240.0,49048693.31000614,61914664.49016881,0.55,arth,0.65,arth,0.65,31881650.65150399,40244531.91860973,8362881.26710574,4904869.331000611,True
29881,31639946.80006198,39962081.62995495,55095.0,32480967.469999917,41037771.15999985,14320.0,64120914.270061895,80999852.7899548,0.55,arth,0.65,arth,0.65,41678594.27554023,52649904.31347062,10971310.037930384,6412091.427006185,True
3100F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,ctdsync,0.55,ctdsync,0.55,0.0,0.0,0.0,0.0,False
