measure_key,psps_paid,psps_allowed,psps_services,psps_denied_services,psps_denied_charges,psps_denial_rate_services,asc,er,esrd,home,hopd,indep_clinic,indep_lab,inpatient,nf,office,other,snf
arth,62020213.15,69742071.34,94015.0,3966.0,9088227.51,0.04047723538237005,0.7891424547611379,9.61944452782004e-05,0.0,1.3708917735314169e-05,0.1945454964951213,1.8195680773793018e-05,0.0,0.00551747120204794,0.0,0.0010196324196283418,0.009646846078277305,0.0
backscan,339860401.98,436376009.49,6443486.4,330745.8,130125172.17,0.04882410142362702,0.00023360291324751642,0.0501850117596333,0.0,0.0011469544193116654,0.18119996410650985,0.03517904563269357,2.2347410747919225e-06,0.05979482499757621,0.0025697535073573976,0.6354772879445648,0.03390940401664737,0.00030191596138357516
bmd,63890846.81,64837948.690000005,3183591.0,235689.0,38866490.25,0.06892942373833087,4.732665398835711e-05,0.00016750474495706564,0.0,1.3142258115579985e-05,0.1761064838201352,0.020359435739962767,1.063689141608984e-06,0.0004708502313243952,2.552337433951128e-05,0.7598091501958604,0.04299759804670525,1.9212454698720242e-06
cea,19875991.14,19282617.77,22169.0,43.0,19409.510000000002,0.0019358905096344319,0.0,0.00033569495744905026,0.0,0.0,0.03776567239906709,0.0,0.0,0.9616911793411073,0.0,0.0,0.00020745330237654754,0.0
cerv,27308961.65,27686140.02,1018361.0,189365.0,18035754.41,0.15679467031429314,2.7943208159289354e-06,8.730833601650323e-06,0.0,6.1155748849206065e-06,0.013714381923415241,0.0003935232008354298,0.33338799646379086,0.0001079971489871714,0.0,0.646698797132772,0.0056747053215038664,4.958079392960003e-06
cncr,1118846294.8,1292296420.55,11761021.5,1294205.5,323875688.15000004,0.09913312882265471,0.6652281181599173,9.415214626851889e-05,0.0,1.3654681676119718e-05,0.16076787818487043,4.5278247991209235e-05,0.07037985269824393,0.018640376436808128,2.823669358948661e-05,0.07320967783572267,0.011590491768414085,2.283146498202981e-06
colon,1000110350.65,1170124968.47,4772897.300000001,207246.3,217426612.23,0.041614522922592025,0.7442047490322112,0.00010507373504503984,0.0,2.261070489401799e-06,0.17946760189347713,3.1630839516299326e-05,0.0034427666384636473,0.020850412103471612,2.076250884365347e-06,0.039115694347703525,0.012776035986124507,1.6981026132728585e-06
ctdasym,223688659.73999998,291756219.71999997,2726286.0,161081.0,69425067.3,0.05578819734380839,2.0297318627047536e-05,0.11394746009755854,0.0,0.007033257930145619,0.09249435663859105,0.005677711786892573,0.0003454616344423541,0.08435805401102181,0.0010973757466530387,0.6823389461826457,0.012607816924103496,7.926172931881327e-05
ctdsync,223688659.73999998,291756219.71999997,2726286.0,161081.0,69425067.3,0.05578819734380839,2.0297318627047536e-05,0.11394746009755854,0.0,0.007033257930145619,0.09249435663859105,0.005677711786892573,0.0003454616344423541,0.08435805401102181,0.0010973757466530387,0.6823389461826457,0.012607816924103496,7.926172931881327e-05
eeg,87808444.85,111831393.41,549733.0,30393.0,17678981.330000002,0.05239034278760132,6.53593172023932e-05,0.0017141015338230305,0.0,0.017521542861033825,0.03677752072157328,0.0017106268110839908,0.0002481211236256167,0.10491992900839993,0.0031779553831831698,0.7081871737533681,0.1254907207253654,0.0001869487613411479
