hcpcs_cd,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,low_value_share_pass1,primary_measure,max_share_v2,primary_measure_v2,low_value_share_v2,lv_paid_v2,lv_alowd_v2,patient_oop_v2,delta_v_pass1_dedup,share_changed,weighted_commercial_mult,weighted_medicaid_mult,ma_eq,comm_eq,medicaid_eq
0146T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True,1.43,0.7,0.0,0.0,0.0
0147T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True,1.43,0.7,0.0,0.0,0.0
0148T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True,1.43,0.7,0.0,0.0,0.0
0149T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,preopst,0.5,preopst,0.5,0.0,0.0,0.0,0.0,True,1.43,0.7,0.0,0.0,0.0
20552,9450373.299984885,12501639.580006765,275695.0,0.0,0.0,0.0,9450373.299984885,12501639.580006765,0.35,spinj,0.35,spinj,0.35,3307630.65499471,4375573.853002368,1067943.1980076577,0.0,False,1.4668362391859704,0.7335616864524793,3170399.170372589,3153639.1318826345,727905.3364319514
20553,14543409.03991267,19018434.410024427,356867.0,0.0,0.0,0.0,14543409.03991267,19018434.410024427,0.35,spinj,0.35,spinj,0.35,5090193.163969435,6656452.043508549,1566258.8795391144,0.0,False,1.464496656310715,0.7354964536161066,4879004.298655811,4845471.064595782,1123145.7060961404
22520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,vert,0.55,vert,0.55,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
22521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,vert,0.55,vert,0.55,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
22523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,vert,0.55,vert,0.55,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
22524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,vert,0.55,vert,0.55,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
29877,1443917.3299998,1822666.6299999,2570.0,1631556.8299999947,2067471.199999995,731.0,3075474.159999795,3890137.829999895,0.55,arth,0.65,arth,0.65,1999058.2039998667,2528589.589499932,529531.385500065,307547.4159999795,True,1.524486355498902,0.6035829155930844,1916118.5551105107,1980899.0212998595,361979.21376315434
