measure_key,measure_name,mod1,paid,measure_total_paid,share
arth,Arthroscopy for knee OA,RT,28510457.209999997,62020213.15,0.4596962145396948
arth,Arthroscopy for knee OA,LT,27260904.439999998,62020213.15,0.4395487060656772
arth,Arthroscopy for knee OA,GLOBAL,2599154.93,62020213.15,0.04190819086212702
arth,Arthroscopy for knee OA,SG,1382575.4,62020213.15,0.022292335510943014
arth,Arthroscopy for knee OA,59,892988.85,62020213.15,0.014398351837976551
arth,Arthroscopy for knee OA,AS,343922.55,62020213.15,0.005545330022781451
arth,Arthroscopy for knee OA,51,306897.51,62020213.15,0.004948346585938813
arth,Arthroscopy for knee OA,79,301553.86,62020213.15,0.004862186772410342
arth,Arthroscopy for knee OA,50,124514.43000000001,62020213.15,0.002007642729296231
arth,Arthroscopy for knee OA,XS,105780.39,62020213.15,0.0017055792721021954
arth,Arthroscopy for knee OA,22,32277.14,62020213.15,0.0005204293626327209
arth,Arthroscopy for knee OA,GC,31493.709999999995,62020213.15,0.0005077975131080309
arth,Arthroscopy for knee OA,78,26807.31,62020213.15,0.00043223505109801454
arth,Arthroscopy for knee OA,XU,24710.55,62020213.15,0.0003984273633538778
arth,Arthroscopy for knee OA,58,20897.949999999997,62020213.15,0.00033695385647025943
arth,Arthroscopy for knee OA,AQ,10897.9,62020213.15,0.00017571529420001679
arth,Arthroscopy for knee OA,80,7445.0199999999995,62020213.15,0.00012004183187816084
arth,Arthroscopy for knee OA,XE,5212.22,62020213.15,8.404066570029194e-05
arth,Arthroscopy for knee OA,74,4705.67,62020213.15,7.587316716598546e-05
arth,Arthroscopy for knee OA,76,4139.59,62020213.15,6.674582026972606e-05
arth,Arthroscopy for knee OA,54,3798.75,62020213.15,6.125019259144549e-05
arth,Arthroscopy for knee OA,AG,2201.0299999999997,62020213.15,3.548891382679809e-05
arth,Arthroscopy for knee OA,A2,1698.9099999999999,62020213.15,2.739284361843571e-05
arth,Arthroscopy for knee OA,F3,1278.68,62020213.15,2.061714939462442e-05
arth,Arthroscopy for knee OA,XP,1278.68,62020213.15,2.061714939462442e-05
arth,Arthroscopy for knee OA,PT,1147.01,62020213.15,1.8494131860299805e-05
arth,Arthroscopy for knee OA,GZ,1099.38,62020213.15,1.7726156428083803e-05
arth,Arthroscopy for knee OA,F9,1056.68,62020213.15,1.703767120961596e-05
arth,Arthroscopy for knee OA,GA,1042.21,62020213.15,1.6804360176566083e-05
arth,Arthroscopy for knee OA,CR,1028.27,62020213.15,1.6579594744588524e-05
arth,Arthroscopy for knee OA,ER,1011.65,62020213.15,1.6311617593981134e-05
arth,Arthroscopy for knee OA,77,931.1500000000001,62020213.15,1.5013653657525363e-05
arth,Arthroscopy for knee OA,52,912.74,62020213.15,1.471681494857939e-05
arth,Arthroscopy for knee OA,GW,849.34,62020213.15,1.369456757502292e-05
arth,Arthroscopy for knee OA,82,821.4699999999999,62020213.15,1.3245197948823881e-05
arth,Arthroscopy for knee OA,73,805.72,62020213.15,1.2991248482995581e-05
arth,Arthroscopy for knee OA,53,721.65,62020213.15,1.1635722667618726e-05
arth,Arthroscopy for knee OA,Q6,492.79,62020213.15,7.94563538193838e-06
arth,Arthroscopy for knee OA,CG,414.6,62020213.15,6.684917367137427e-06
arth,Arthroscopy for knee OA,CC,158.64,62020213.15,2.5578757624763176e-06
arth,Arthroscopy for knee OA,JZ,127.17,62020213.15,2.050460544087956e-06
arth,Arthroscopy for knee OA,81,0.0,62020213.15,0.0
arth,Arthroscopy for knee OA,A1,0.0,62020213.15,0.0
arth,Arthroscopy for knee OA,GY,0.0,62020213.15,0.0
backscan,Imaging for low back pain,GLOBAL,129456932.47,339860401.98,0.3809120795355801
backscan,Imaging for low back pain,26,127425017.39,339860401.98,0.37493340397301905
backscan,Imaging for low back pain,TC,36948200.39,339860401.98,0.10871581441892814
backscan,Imaging for low back pain,51,14161289.110000001,339860401.98,0.041667958454404935
backscan,Imaging for low back pain,X5,12315761.33,339860401.98,0.036237706005905194
backscan,Imaging for low back pain,MH,5003532.66,339860401.98,0.014722317253936652
backscan,Imaging for low back pain,ME,3834294.5,339860401.98,0.01128196894272384
backscan,Imaging for low back pain,MG,2585901.79,339860401.98,0.007608717505583879
backscan,Imaging for low back pain,GA,2210323.96,339860401.98,0.006503623096785698
backscan,Imaging for low back pain,Q6,1365720.1300000001,339860401.98,0.004018473826439979
backscan,Imaging for low back pain,59,1136864.49,339860401.98,0.0033450925243915346
backscan,Imaging for low back pain,GC,984606.71,339860401.98,0.00289709158308458
backscan,Imaging for low back pain,FY,841060.8600000001,339860401.98,0.0024747244901143104
backscan,Imaging for low back pain,MF,493172.16000000003,339860401.98,0.0014511021499616246
backscan,Imaging for low back pain,QQ,277788.21,339860401.98,0.0008173597405923954
backscan,Imaging for low back pain,XS,127576.76,339860401.98,0.00037537988908607127
backscan,Imaging for low back pain,MC,109439.31,339860401.98,0.0003220125362131486
backscan,Imaging for low back pain,GW,102314.39,339860401.98,0.0003010482816001052
backscan,Imaging for low back pain,XU,63846.45,339860401.98,0.00018786080881454735
backscan,Imaging for low back pain,KX,58465.75,339860401.98,0.0001720287202021275
backscan,Imaging for low back pain,LT,50725.96,339860401.98,0.00014925528159348526
backscan,Imaging for low back pain,RT,47314.36,339860401.98,0.00013921704242197754
backscan,Imaging for low back pain,CT,43396.63,339860401.98,0.0001276895741521361
backscan,Imaging for low back pain,52,41854.259999999995,339860401.98,0.00012315132847533976
backscan,Imaging for low back pain,X4,22356.74,339860401.98,6.57821266312621e-05
backscan,Imaging for low back pain,CR,19975.03,339860401.98,5.87742198962487e-05
backscan,Imaging for low back pain,CC,18972.51,339860401.98,5.5824420525214605e-05
backscan,Imaging for low back pain,FX,17061.2,339860401.98,5.020061148813686e-05
backscan,Imaging for low back pain,MA,15907.010000000002,339860401.98,4.6804540650593625e-05
backscan,Imaging for low back pain,Q5,12617.06,339860401.98,3.712424256104565e-05
backscan,Imaging for low back pain,Q1,10277.23,339860401.98,3.0239562891486223e-05
backscan,Imaging for low back pain,76,9986.09,339860401.98,2.938291705012359e-05
backscan,Imaging for low back pain,GV,9747.72,339860401.98,2.8681540842094426e-05
backscan,Imaging for low back pain,XE,7852.01,339860401.98,2.3103633004182913e-05
backscan,Imaging for low back pain,53,7468.55,339860401.98,2.197534622006216e-05
backscan,Imaging for low back pain,77,4793.860000000001,339860401.98,1.4105379656092175e-05
backscan,Imaging for low back pain,AQ,3514.93,339860401.98,1.0342275768292786e-05
backscan,Imaging for low back pain,X1,2375.19,339860401.98,6.988722387669554e-06
backscan,Imaging for low back pain,X2,2373.45,339860401.98,6.983602638531781e-06
backscan,Imaging for low back pain,MB,1606.48,339860401.98,4.726881951062182e-06
backscan,Imaging for low back pain,79,1518.79,339860401.98,4.468864248825837e-06
backscan,Imaging for low back pain,MD,1357.86,339860401.98,3.995346301273153e-06
backscan,Imaging for low back pain,AR,958.37,339860401.98,2.8198930926245354e-06
backscan,Imaging for low back pain,XP,811.14,339860401.98,2.3866858135704014e-06
backscan,Imaging for low back pain,QJ,721.26,339860401.98,2.1222242891434125e-06
backscan,Imaging for low back pain,SA,557.73,339860401.98,1.6410561417296891e-06
backscan,Imaging for low back pain,JZ,441.9,339860401.98,1.3002397379204088e-06
backscan,Imaging for low back pain,58,282.04,339860401.98,8.298701418489977e-07
backscan,Imaging for low back pain,GX,229.49,339860401.98,6.752478331191551e-07
backscan,Imaging for low back pain,PD,207.82,339860401.98,6.114863596619582e-07
backscan,Imaging for low back pain,E2,184.98,339860401.98,5.442822962672939e-07
backscan,Imaging for low back pain,99,180.94,339860401.98,5.323950626370644e-07
backscan,Imaging for low back pain,FQ,106.87,339860401.98,3.1445263813431566e-07
backscan,Imaging for low back pain,UD,101.85000000000001,339860401.98,2.996818676333868e-07
backscan,Imaging for low back pain,95,86.44,339860401.98,2.54339721533922e-07
backscan,Imaging for low back pain,U6,76.62,339860401.98,2.254455051356907e-07
backscan,Imaging for low back pain,ST,72.15,339860401.98,2.122930461438278e-07
backscan,Imaging for low back pain,AI,52.92,339860401.98,1.5571099101775974e-07
backscan,Imaging for low back pain,FT,45.58,339860401.98,1.3411388833313472e-07
backscan,Imaging for low back pain,AG,39.2,339860401.98,1.1534147482797019e-07
backscan,Imaging for low back pain,ET,30.54,339860401.98,8.986042452158697e-08
backscan,Imaging for low back pain,32,28.64,339860401.98,8.426989385390475e-08
backscan,Imaging for low back pain,T1,18.56,339860401.98,5.4610657469569554e-08
backscan,Imaging for low back pain,GT,5.2,339860401.98,1.5300399722077677e-08
backscan,Imaging for low back pain,22,0.0,339860401.98,0.0
backscan,Imaging for low back pain,24,0.0,339860401.98,0.0
backscan,Imaging for low back pain,25,0.0,339860401.98,0.0
backscan,Imaging for low back pain,27,0.0,339860401.98,0.0
backscan,Imaging for low back pain,33,0.0,339860401.98,0.0
backscan,Imaging for low back pain,50,0.0,339860401.98,0.0
backscan,Imaging for low back pain,57,0.0,339860401.98,0.0
backscan,Imaging for low back pain,AM,0.0,339860401.98,0.0
backscan,Imaging for low back pain,AT,0.0,339860401.98,0.0
backscan,Imaging for low back pain,CH,0.0,339860401.98,0.0
backscan,Imaging for low back pain,EP,0.0,339860401.98,0.0
backscan,Imaging for low back pain,G,0.0,339860401.98,0.0
backscan,Imaging for low back pain,GI,0.0,339860401.98,0.0
backscan,Imaging for low back pain,GP,0.0,339860401.98,0.0
backscan,Imaging for low back pain,GY,0.0,339860401.98,0.0
backscan,Imaging for low back pain,GZ,0.0,339860401.98,0.0
backscan,Imaging for low back pain,KY,0.0,339860401.98,0.0
backscan,Imaging for low back pain,P,0.0,339860401.98,0.0
backscan,Imaging for low back pain,PC,0.0,339860401.98,0.0
backscan,Imaging for low back pain,PE,0.0,339860401.98,0.0
backscan,Imaging for low back pain,PN,0.0,339860401.98,0.0
