measure_key,measure_name,pos_group,paid,measure_total_paid,share
arth,Arthroscopy for knee OA,asc,48942783.25,62020213.15,0.7891424547611379
arth,Arthroscopy for knee OA,hopd_on_campus,12065753.16,62020213.15,0.1945454964951213
arth,Arthroscopy for knee OA,other,598299.4500000001,62020213.15,0.009646846078277305
arth,Arthroscopy for knee OA,inpatient,342194.74,62020213.15,0.00551747120204794
arth,Arthroscopy for knee OA,office,63237.82,62020213.15,0.0010196324196283418
arth,Arthroscopy for knee OA,er,5966.0,62020213.15,9.61944452782004e-05
arth,Arthroscopy for knee OA,indep_clinic,1128.5,62020213.15,1.8195680773793018e-05
arth,Arthroscopy for knee OA,home,850.23,62020213.15,1.3708917735314169e-05
arth,Arthroscopy for knee OA,esrd,0.0,62020213.15,0.0
arth,Arthroscopy for knee OA,nf,0.0,62020213.15,0.0
arth,Arthroscopy for knee OA,snf,0.0,62020213.15,0.0
backscan,Imaging for low back pain,office,215973566.52999997,339860401.98,0.6354772879445647
backscan,Imaging for low back pain,hopd_on_campus,61582692.64,339860401.98,0.18119996410650982
backscan,Imaging for low back pain,inpatient,20321893.26,339860401.98,0.0597948249975762
backscan,Imaging for low back pain,er,17055898.27,339860401.98,0.050185011759633295
backscan,Imaging for low back pain,indep_clinic,11955964.59,339860401.98,0.03517904563269357
backscan,Imaging for low back pain,other,11129932.52,339860401.98,0.03274854162225987
backscan,Imaging for low back pain,nf,873357.46,339860401.98,0.002569753507357397
backscan,Imaging for low back pain,home,389804.39,339860401.98,0.0011469544193116652
backscan,Imaging for low back pain,alf,327468.49,339860401.98,0.0009635382294971532
backscan,Imaging for low back pain,snf,102609.28,339860401.98,0.0003019159613835751
backscan,Imaging for low back pain,asc,79392.37999999999,339860401.98,0.0002336029132475164
backscan,Imaging for low back pain,fqhc,27974.14,339860401.98,8.23106776694927e-05
backscan,Imaging for low back pain,custodial,13641.039999999999,339860401.98,4.0137185504778936e-05
backscan,Imaging for low back pain,rehab_inp,9810.16,339860401.98,2.8865263334141835e-05
backscan,Imaging for low back pain,rural_hc,8372.73,339860401.98,2.4635791493275276e-05
backscan,Imaging for low back pain,group_home,3383.8399999999997,339860401.98,9.956558576068331e-06
backscan,Imaging for low back pain,phl_state,2656.72,339860401.98,7.817091913391962e-06
backscan,Imaging for low back pain,indep_lab,759.5,339860401.98,2.234741074791922e-06
backscan,Imaging for low back pain,rehab_outp,746.59,339860401.98,2.1967548900973024e-06
backscan,Imaging for low back pain,inp_psy,460.76,339860401.98,1.3557331107585598e-06
backscan,Imaging for low back pain,cmhc,8.37,339860401.98,2.4627758783421183e-08
backscan,Imaging for low back pain,psy_partial,8.32,339860401.98,2.4480639555324283e-08
bmd,Frequent BMD test,office,48544850.019999996,63890846.81,0.7598091501958604
bmd,Frequent BMD test,hopd_on_campus,11251592.38,63890846.81,0.1761064838201352
bmd,Frequent BMD test,other,2741633.71,63890846.81,0.0429112125897021
bmd,Frequent BMD test,indep_clinic,1300781.59,63890846.81,0.020359435739962767
bmd,Frequent BMD test,inpatient,30083.02,63890846.81,0.0004708502313243952
bmd,Frequent BMD test,er,10702.02,63890846.81,0.00016750474495706564
bmd,Frequent BMD test,asc,3023.74,63890846.81,4.732665398835711e-05
bmd,Frequent BMD test,phl_state,2829.59,63890846.81,4.4287877548636925e-05
bmd,Frequent BMD test,fqhc,2282.34,63890846.81,3.5722487867272644e-05
bmd,Frequent BMD test,nf,1630.71,63890846.81,2.552337433951128e-05
bmd,Frequent BMD test,home,839.6700000000001,63890846.81,1.3142258115579985e-05
bmd,Frequent BMD test,rural_hc,189.54,63890846.81,2.966622129201984e-06
bmd,Frequent BMD test,alf,149.39000000000001,63890846.81,2.3382066048405846e-06
bmd,Frequent BMD test,snf,122.74999999999999,63890846.81,1.9212454698720242e-06
bmd,Frequent BMD test,indep_lab,67.96,63890846.81,1.063689141608984e-06
bmd,Frequent BMD test,custodial,59.09,63890846.81,9.248586135620198e-07
bmd,Frequent BMD test,rehab_inp,9.29,63890846.81,1.4540423963430638e-07
cea,Carotid endarterectomy asymp,inpatient,19114565.36,19875991.14,0.9616911793411073
cea,Carotid endarterectomy asymp,hopd_on_campus,750630.17,19875991.14,0.03776567239906709
cea,Carotid endarterectomy asymp,er,6672.27,19875991.14,0.00033569495744905026
cea,Carotid endarterectomy asymp,other,2424.2400000000002,19875991.14,0.00012196825722674377
cea,Carotid endarterectomy asymp,psy_partial,1699.1,19875991.14,8.548504514980378e-05
cea,Carotid endarterectomy asymp,office,0.0,19875991.14,0.0
cerv,Cervical screen over 65,office,17660672.65,27308961.65,0.646698797132772
cerv,Cervical screen over 65,indep_lab,9104480.01,27308961.65,0.33338799646379086
cerv,Cervical screen over 65,hopd_on_campus,374525.53,27308961.65,0.013714381923415241
cerv,Cervical screen over 65,other,151736.29,27308961.65,0.005556281924765163
cerv,Cervical screen over 65,indep_clinic,10746.71,27308961.65,0.0003935232008354298
cerv,Cervical screen over 65,inpatient,2949.29,27308961.65,0.0001079971489871714
cerv,Cervical screen over 65,fqhc,1657.1899999999998,27308961.65,6.068301026011364e-05
cerv,Cervical screen over 65,rural_hc,702.27,27308961.65,2.5715734234076967e-05
cerv,Cervical screen over 65,phl_state,656.31,27308961.65,2.4032770209701474e-05
cerv,Cervical screen over 65,er,238.43,27308961.65,8.730833601650323e-06
cerv,Cervical screen over 65,alf,218.25,27308961.65,7.991882034811822e-06
cerv,Cervical screen over 65,home,167.01,27308961.65,6.1155748849206065e-06
cerv,Cervical screen over 65,snf,135.4,27308961.65,4.958079392960003e-06
cerv,Cervical screen over 65,asc,76.31,27308961.65,2.7943208159289354e-06
cerv,Cervical screen over 65,custodial,0.0,27308961.65,0.0
cerv,Cervical screen over 65,nf,0.0,27308961.65,0.0
cncr,Cancer screen on dialysis,asc,744288015.2,1118846294.8,0.6652281181599173
cncr,Cancer screen on dialysis,hopd_on_campus,179874544.83,1118846294.8,0.16076787818487043
cncr,Cancer screen on dialysis,office,81910376.78999999,1118846294.8,0.07320967783572267
cncr,Cancer screen on dialysis,indep_lab,78744237.42,1118846294.8,0.07037985269824393
cncr,Cancer screen on dialysis,inpatient,20855716.11,1118846294.8,0.018640376436808128
cncr,Cancer screen on dialysis,other,12933006.969999999,1118846294.8,0.01155923474931992
cncr,Cancer screen on dialysis,er,105341.78,1118846294.8,9.415214626851889e-05
cncr,Cancer screen on dialysis,indep_clinic,50659.399999999994,1118846294.8,4.5278247991209235e-05
cncr,Cancer screen on dialysis,nf,31592.520000000004,1118846294.8,2.823669358948661e-05
cncr,Cancer screen on dialysis,fqhc,20364.210000000003,1118846294.8,1.8201079178297874e-05
cncr,Cancer screen on dialysis,home,15277.49,1118846294.8,1.3654681676119718e-05
cncr,Cancer screen on dialysis,alf,9131.89,1118846294.8,8.16188071805911e-06
cncr,Cancer screen on dialysis,rural_hc,3157.57,1118846294.8,2.8221660246588504e-06
cncr,Cancer screen on dialysis,snf,2554.49,1118846294.8,2.283146498202981e-06
cncr,Cancer screen on dialysis,phl_state,1071.69,1118846294.8,9.578527497305343e-07
cncr,Cancer screen on dialysis,inp_psy,381.07000000000005,1118846294.8,3.405919130903664e-07
cncr,Cancer screen on dialysis,rehab_inp,294.98,1118846294.8,2.6364658074211107e-07
cncr,Cancer screen on dialysis,rehab_outp,249.67,1118846294.8,2.2314950781030194e-07
cncr,Cancer screen on dialysis,custodial,223.63,1118846294.8,1.998755334305997e-07
cncr,Cancer screen on dialysis,group_home,97.09,1118846294.8,8.677688834582537e-08
cncr,Cancer screen on dialysis,ambulance_land,0.0,1118846294.8,0.0
cncr,Cancer screen on dialysis,cmhc,0.0,1118846294.8,0.0
cncr,Cancer screen on dialysis,esrd,0.0,1118846294.8,0.0
cncr,Cancer screen on dialysis,psy_partial,0.0,1118846294.8,0.0
colon,Colon cancer screen 85+,asc,744286872.5100001,1000110350.65,0.7442047490322113
colon,Colon cancer screen 85+,hopd_on_campus,179487406.26000002,1000110350.65,0.17946760189347713
colon,Colon cancer screen 85+,office,39120010.79,1000110350.65,0.03911569434770353
colon,Colon cancer screen 85+,inpatient,20852712.96,1000110350.65,0.020850412103471615
colon,Colon cancer screen 85+,other,12768969.379999999,1000110350.65,0.012767560471403065
colon,Colon cancer screen 85+,indep_lab,3443146.5500000003,1000110350.65,0.0034427666384636477
colon,Colon cancer screen 85+,er,105085.33,1000110350.65,0.00010507373504503985
colon,Colon cancer screen 85+,indep_clinic,31634.33,1000110350.65,3.163083951629933e-05
colon,Colon cancer screen 85+,fqhc,4213.1900000000005,1000110350.65,4.2127251230444016e-06
colon,Colon cancer screen 85+,home,2261.32,1000110350.65,2.261070489401799e-06
colon,Colon cancer screen 85+,rural_hc,2174.2,1000110350.65,2.1739601020896603e-06
colon,Colon cancer screen 85+,nf,2076.48,1000110350.65,2.0762508843653474e-06
colon,Colon cancer screen 85+,snf,1698.29,1000110350.65,1.6981026132728587e-06
colon,Colon cancer screen 85+,alf,520.04,1000110350.65,5.199826195799406e-07
colon,Colon cancer screen 85+,phl_state,415.38,1000110350.65,4.153341676046376e-07
