HCPCS_CD,pos_group,paid,services,hcpcs_total_paid,paid_share
20552,alf,5144.89,158.0,9414403.19,0.0005464913596928708
20552,asc,150863.8,6318.0,9414403.19,0.016024786378413012
20552,custodial,0.0,0.0,9414403.19,0.0
20552,er,30629.02,1116.0,9414403.19,0.0032534213143255025
20552,fqhc,0.0,0.0,9414403.19,0.0
20552,home,5945.41,102.0,9414403.19,0.0006315227720770689
20552,hopd_on_campus,515016.75,18976.0,9414403.19,0.054705193691624764
20552,indep_clinic,14059.150000000001,286.0,9414403.19,0.0014933660388513701
20552,indep_lab,0.0,0.0,9414403.19,0.0
20552,inp_psy,0.0,0.0,9414403.19,0.0
20552,inpatient,10017.46,96.0,9414403.19,0.0010640568284392756
20552,nf,1721.19,0.0,9414403.19,0.00018282518448203407
20552,office,8443748.33,259957.0,9414403.19,0.8968968249595438
20552,other,228594.02,6874.0,9414403.19,0.02428130762901817
20552,phl_state,298.5,0.0,9414403.19,3.170673636721522e-05
20552,rehab_inp,936.79,0.0,9414403.19,9.950604208188793e-05
20552,rural_hc,0.0,0.0,9414403.19,0.0
20552,snf,7427.88,252.0,9414403.19,0.0007889910650831177
20553,alf,30843.66,913.0,14499497.67,0.002127222659845429
20553,asc,102147.7,3347.0,14499497.67,0.007044913025597252
20553,custodial,181.06,21.0,14499497.67,1.2487329155865854e-05
20553,er,2563.9,14.0,14499497.67,0.00017682681554581056
20553,fqhc,0.0,0.0,14499497.67,0.0
20553,home,27388.45,797.0,14499497.67,0.0018889240595326086
20553,hopd_on_campus,776374.9,28010.0,14499497.67,0.05354495153348302
20553,indep_clinic,13987.039999999999,265.0,14499497.67,0.0009646568673161488
20553,inp_psy,182.46,0.0,14499497.67,1.2583884225004327e-05
20553,inpatient,12066.55,178.0,14499497.67,0.0008322046925091853
20553,nf,3606.34,29.0,14499497.67,0.0002487217200263187
20553,office,13067000.92,332158.0,14499497.67,0.9012036980450786
20553,other,447203.21,13788.0,14499497.67,0.030842669186069812
20553,phl_state,109.14,0.0,14499497.67,7.527157318409363e-06
20553,rehab_inp,228.28,0.0,14499497.67,1.5743993702093543e-05
20553,rural_hc,48.26,0.0,14499497.67,3.328391169016271e-06
20553,snf,15565.800000000001,586.0,14499497.67,0.001073540639425476
29877,asc,948308.85,673.0,1442146.17,0.6575677762261782
29877,er,3461.0,0.0,1442146.17,0.0023998954280757827
