hcpcs_cd,n_measures,measures_list,min_share,mean_share,max_share,phys_paid,hopd_paid,combined_paid,combined_alowd,lv_paid_min,lv_paid_mean,lv_paid_max,patient_oop_mean
0146T,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0147T,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0148T,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0149T,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20552,1,spinj,0.35,0.35,0.35,9450373.299984884,0.0,9450373.299984884,12501639.580006763,3307630.654994709,3307630.654994709,3307630.654994709,1067943.1980076577
20553,1,spinj,0.35,0.35,0.35,14543409.03991267,0.0,14543409.03991267,19018434.410024427,5090193.163969435,5090193.163969435,5090193.163969435,1566258.8795391144
22520,1,vert,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22521,1,vert,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22523,1,vert,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22524,1,vert,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29877,1,arth,0.65,0.65,0.65,1443917.3299998,1631556.8299999947,3075474.159999795,3890137.829999895,1999058.2039998667,1999058.2039998667,1999058.2039998667,529531.385500065
29879,1,arth,0.65,0.65,0.65,3308666.41000649,2950209.039999986,6258875.450006476,7896412.599967171,4068269.042504209,4068269.042504209,4068269.042504209,1064399.1474744529
29880,1,arth,0.65,0.65,0.65,25591153.40000621,23457539.90999993,49048693.31000614,61914664.49016881,31881650.65150399,31881650.65150399,31881650.65150399,8362881.26710574
29881,1,arth,0.65,0.65,0.65,31639946.80006198,32480967.46999992,64120914.270061895,80999852.7899548,41678594.27554023,41678594.27554023,41678594.27554023,10971310.037930384
3100F,2,"ctdasym,ctdsync",0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35301,1,cea,0.3,0.3,0.3,19925614.37005384,0.0,19925614.37005384,25069204.16014112,5977684.311016152,5977684.311016152,5977684.311016152,1543076.937026185
35450,1,renlstent,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35471,1,renlstent,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37191,1,ivc,0.55,0.55,0.55,3873693.57999026,7623116.329999981,11496809.909990242,14481477.660029013,6323245.450494633,6323245.450494633,6323245.450494633,1641567.2625213247
37192,1,ivc,0.55,0.55,0.55,5803.72999998,0.0,5803.72999998,7263.59000004,3192.051499989,3192.051499989,3192.051499989,802.9230000329999
37205,1,renlstent,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37207,1,renlstent,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37236,1,renlstent,0.7,0.7,0.7,5544381.620062981,35475947.70999996,41020329.33006294,48908170.22002692,28714230.53104406,28714230.53104406,28714230.53104406,5521488.622974783
45330,2,"cncr,colon",0.1,0.125,0.15,2671673.2300135307,0.0,2671673.2300135307,3536596.59004293,267167.32300135307,333959.15375169134,400750.9845020296,108115.42000367492
45331,2,"cncr,colon",0.1,0.125,0.15,4114239.81983113,0.0,4114239.81983113,5269627.499930089,411423.98198311304,514279.97747889126,617135.9729746695,144423.4600123699
45332,2,"cncr,colon",0.1,0.125,0.15,24773.559999881003,0.0,24773.559999881003,31799.31000018,2477.3559999881004,3096.6949999851254,3716.0339999821504,878.2187500373748
45333,2,"cncr,colon",0.1,0.125,0.15,59006.749999871,0.0,59006.749999871,75131.25000052,5900.6749999871,7375.843749983875,8851.012499980648,2015.562500081125
45334,2,"cncr,colon",0.1,0.125,0.15,386782.43000358,0.0,386782.43000358,493588.77999494,38678.243000358,48347.8037504475,58017.364500537,13350.793748919998
45335,2,"cncr,colon",0.1,0.125,0.15,220185.730000412,0.0,220185.730000412,278685.92999871,22018.5730000412,27523.2162500515,33027.8595000618,7312.524999787249
45336,2,"cncr,colon",0.1,0.125,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45337,2,"cncr,colon",0.1,0.125,0.15,143854.280000055,0.0,143854.280000055,183639.7499931,14385.4280000055,17981.785000006876,21578.14200000825,4973.183749130625
45338,2,"cncr,colon",0.1,0.125,0.15,1155454.78001546,0.0,1155454.78001546,1466333.20001502,115545.478001546,144431.8475019325,173318.217002319,38859.80249994501
45339,2,"cncr,colon",0.1,0.125,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45340,2,"cncr,colon",0.1,0.125,0.15,108148.069999585,0.0,108148.069999585,139545.25999976997,10814.8069999585,13518.508749948125,16222.21049993775,3924.6487500231215
45341,2,"cncr,colon",0.1,0.125,0.15,185059.49999285,0.0,185059.49999285,239410.54000465,18505.949999285,23132.43749910625,27758.9249989275,6793.880001475001
45342,2,"cncr,colon",0.1,0.125,0.15,55667.28000066001,0.0,55667.28000066001,71617.19000097,5566.728000066001,6958.410000082501,8350.092000099,1993.7387500387495
45343,2,"cncr,colon",0.1,0.125,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45344,2,"cncr,colon",0.1,0.125,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45345,2,"cncr,colon",0.1,0.125,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45378,2,"cncr,colon",0.1,0.125,0.15,58925314.79974557,0.0,58925314.79974557,76658141.86936966,5892531.479974557,7365664.349968196,8838797.219961835,2216603.383703011
45379,2,"cncr,colon",0.1,0.125,0.15,151626.52000206,0.0,151626.52000206,190546.39000463,15162.652000205999,18953.3150002575,22743.978000308998,4864.983750321251
45380,2,"cncr,colon",0.1,0.125,0.15,253961581.4231959,0.0,253961581.4231959,312111886.13479656,25396158.14231959,31745197.677899487,38094237.213479385,7268788.088950083
45381,2,"cncr,colon",0.1,0.125,0.15,7507827.910037382,0.0,7507827.910037382,9137332.58018082,750782.7910037382,938478.4887546727,1126174.186505607,203688.0837679298
45382,2,"cncr,colon",0.1,0.125,0.15,4973932.02989988,0.0,4973932.02989988,6263136.119995541,497393.202989988,621741.503737485,746089.804484982,161150.51126195758
45383,2,"cncr,colon",0.1,0.125,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45384,2,"cncr,colon",0.1,0.125,0.15,11510464.969828509,0.0,11510464.969828509,14211069.38985597,1151046.4969828508,1438808.1212285636,1726569.7454742764,337575.5525034326
45385,2,"cncr,colon",0.1,0.125,0.15,434171231.7017248,0.0,434171231.7017248,528191609.7944539,43417123.17017248,54271403.9627156,65125684.755258724,11752547.261591136
45386,2,"cncr,colon",0.1,0.125,0.15,424969.24000202,0.0,424969.24000202,541409.83999558,42496.924000202,53121.1550002525,63745.38600030299,14555.074999195007
45387,2,"cncr,colon",0.1,0.125,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45388,2,"cncr,colon",0.1,0.125,0.15,8148584.59989395,0.0,8148584.59989395,10062978.14005545,814858.459989395,1018573.0749867437,1222287.6899840925,239299.19252018747
45389,2,"cncr,colon",0.1,0.125,0.15,94425.73000168,319583.4799999995,414009.2100016795,521166.6400005597,41400.92100016795,51751.151250209936,62101.38150025192,13394.678749860024
45390,2,"cncr,colon",0.1,0.125,0.15,13183088.570093058,34484451.58999989,47667540.16009295,58502127.92006642,4766754.016009295,5958442.520011619,7150131.024013942,1354323.4699966842
45391,2,"cncr,colon",0.1,0.125,0.15,125109.29000059,0.0,125109.29000059,160074.42000053,12510.929000059,15638.66125007375,18766.3935000885,4370.641249992499
45392,2,"cncr,colon",0.1,0.125,0.15,34675.82999978,0.0,34675.82999978,43882.1199995,3467.582999978,4334.4787499725,5201.374499967,1150.786249965
62311,1,spinj,0.35,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64475,1,spinj,0.35,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64483,1,spinj,0.35,0.35,0.35,178739656.00183094,0.0,178739656.00183094,229631698.34135145,62558879.600640826,62558879.600640826,62558879.600640826,17812214.81883218
64493,1,spinj,0.35,0.35,0.35,113123021.8486673,0.0,113123021.8486673,144863056.33913794,39593057.64703355,39593057.64703355,39593057.64703355,11109012.071664728
70450,2,"head,sync",0.4,0.5,0.6,156288521.42905042,0.0,156288521.42905042,207182606.56303716,62515408.57162017,78144260.71452521,93773112.85743025,25447042.56699337
70460,2,"head,sync",0.4,0.5,0.6,972651.150009095,0.0,972651.150009095,1272623.429991689,389060.460003638,486325.5750045475,583590.6900054569,149986.13999129704
70470,2,"head,sync",0.4,0.5,0.6,3912976.270004907,0.0,3912976.270004907,5162262.450026078,1565190.508001963,1956488.1350024536,2347785.762002944,624643.0900105855
70486,1,rhinoct,0.5,0.5,0.5,24570468.370152853,0.0,24570468.370152853,32550323.46920903,12285234.185076427,12285234.185076427,12285234.185076427,3989927.5495280884
70487,1,rhinoct,0.5,0.5,0.5,1458969.680002058,0.0,1458969.680002058,1955162.659997724,729484.840001029,729484.840001029,729484.840001029,248096.48999783304
70488,1,rhinoct,0.5,0.5,0.5,274342.85999410204,0.0,274342.85999410204,361474.789994134,137171.42999705102,137171.42999705102,137171.42999705102,43565.965000015975
70498,2,"ctdasym,ctdsync",0.55,0.55,0.55,49509218.63032726,0.0,49509218.63032726,63925902.0597625,27230070.246679995,27230070.246679995,27230070.246679995,7929175.8861893825
70547,2,"ctdasym,ctdsync",0.55,0.55,0.55,4621259.430072079,0.0,4621259.430072079,5898948.74003836,2541692.686539644,2541692.686539644,2541692.686539644,702729.1204814543
70548,2,"ctdasym,ctdsync",0.55,0.55,0.55,824272.949994011,0.0,824272.949994011,1062870.290004874,453350.1224967061,453350.1224967061,453350.1224967061,131228.53700597468
70549,2,"ctdasym,ctdsync",0.55,0.55,0.55,4853323.01001158,0.0,4853323.01001158,6212311.36004631,2669327.655506369,2669327.655506369,2669327.655506369,747443.5925191017
70551,2,"head,sync",0.4,0.5,0.6,83120881.03878658,0.0,83120881.03878658,109431833.9713638,33248352.415514633,41560440.51939329,49872528.62327194,13155476.466288611
70552,2,"head,sync",0.4,0.5,0.6,1576740.420002717,0.0,1576740.420002717,2030567.0600106984,630696.1680010869,788370.2100013585,946044.2520016301,226913.32000399067
70553,2,"head,sync",0.4,0.5,0.6,127000756.32868975,0.0,127000756.32868975,165264874.26662523,50800302.5314759,63500378.16434488,76200453.79721385,19132058.968967736
71010,1,preopx,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71015,1,preopx,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71020,1,preopx,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71021,1,preopx,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71022,1,preopx,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71023,1,preopx,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71030,1,preopx,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71034,1,preopx,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71035,1,preopx,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
