measure_key,measure_name,measure_desc,hcpcs_cd,diagnosis_restricted
psa,PSA over 75,PSA testing for men over 75,84152,False
psa,PSA over 75,PSA testing for men over 75,84153,False
psa,PSA over 75,PSA testing for men over 75,84154,False
psa,PSA over 75,PSA testing for men over 75,G0103,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45330,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45331,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45332,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45333,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45334,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45335,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45336,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45337,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45338,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45339,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45340,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45341,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45342,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45343,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45344,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45345,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45378,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45379,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45380,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45381,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45382,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45383,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45384,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45385,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45386,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45387,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45388,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45389,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45390,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45391,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,45392,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,82270,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,G0104,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,G0105,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,G0106,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,G0120,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,G0121,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,G0122,False
colon,Colon cancer screen 85+,Colorectal cancer screening for adults older than 85,G0328,False
cerv,Cervical screen over 65,Cervical cancer screening for women over 65,G0123,False
cerv,Cervical screen over 65,Cervical cancer screening for women over 65,G0124,False
cerv,Cervical screen over 65,Cervical cancer screening for women over 65,G0141,False
cerv,Cervical screen over 65,Cervical cancer screening for women over 65,G0143,False
cerv,Cervical screen over 65,Cervical cancer screening for women over 65,G0144,False
cerv,Cervical screen over 65,Cervical cancer screening for women over 65,G0145,False
cerv,Cervical screen over 65,Cervical cancer screening for women over 65,G0147,False
cerv,Cervical screen over 65,Cervical cancer screening for women over 65,G0148,False
cerv,Cervical screen over 65,Cervical cancer screening for women over 65,P3000,False
cerv,Cervical screen over 65,Cervical cancer screening for women over 65,P3001,False
cerv,Cervical screen over 65,Cervical cancer screening for women over 65,Q0091,False
cncr,Cancer screen on dialysis,Cancer screening for dialysis patients,45330,False
cncr,Cancer screen on dialysis,Cancer screening for dialysis patients,45331,False
cncr,Cancer screen on dialysis,Cancer screening for dialysis patients,45332,False
cncr,Cancer screen on dialysis,Cancer screening for dialysis patients,45333,False
cncr,Cancer screen on dialysis,Cancer screening for dialysis patients,45334,False
