YEAR,ffs_avg_risk_score,BENES_FFS_CNT,BENES_MA_CNT,MA_PRTCPTN_RATE,BENE_AVG_AGE,BENE_DUAL_PCT,geo_lvl,geo_desc,geo_cd,ffs_risk_score_yoy_pct
2014,1.0,33462969.0,15839852.0,0.3213,71.0,0.2148,National,National,,
2015,1.0,33551396.0,17224481.0,0.3392,71.0,0.2095,National,National,,0.0
2016,1.0,33981630.0,18184780.0,0.3486,71.0,0.2068,National,National,,0.0
2017,1.0,33725800.0,19575710.0,0.3673,72.0,0.2037,National,National,,0.0
2018,1.0,33499454.0,21062539.0,0.386,72.0,0.1975,National,National,,0.0
2019,1.0,33172250.0,22641201.0,0.4057,72.0,0.1887,National,National,,0.0
2020,1.0,32407829.0,24930644.0,0.4348,72.0,0.1798,National,National,,0.0
2021,1.0,30900366.0,27363940.0,0.4697,72.0,0.1712,National,National,,0.0
2022,1.0,29639955.0,29679713.0,0.5003,73.0,0.165,National,National,,0.0
2023,1.0,28408790.0,31848969.0,0.5285,73.0,0.158,National,National,,0.0
2014,0.81,71383.0,477.0,0.0066,70.0,0.2381,State,AK,02,
2015,0.81,74618.0,536.0,0.0071,70.0,0.2335,State,AK,02,0.0
2016,0.81,78268.0,573.0,0.0073,70.0,0.2297,State,AK,02,0.0
2017,0.83,80901.0,1187.0,0.0145,70.0,0.2313,State,AK,02,2.4691358024691246
2018,0.83,84714.0,1346.0,0.0156,71.0,0.2287,State,AK,02,0.0
2019,0.82,88343.0,1494.0,0.0166,71.0,0.2263,State,AK,02,-1.2048192771084376
2020,0.81,92202.0,1673.0,0.0178,71.0,0.2207,State,AK,02,-1.2195121951219412
2021,0.82,95155.0,2034.0,0.0209,71.0,0.2193,State,AK,02,1.2345679012345512
2022,0.82,97534.0,2388.0,0.0239,71.0,0.2212,State,AK,02,0.0
2023,0.82,99627.0,2684.0,0.0262,72.0,0.2191,State,AK,02,0.0
2014,0.98,674129.0,224558.0,0.2499,70.0,0.2095,State,AL,01,
2015,0.99,674322.0,241913.0,0.264,70.0,0.2026,State,AL,01,1.0204081632652962
2016,0.99,674292.0,259683.0,0.278,70.0,0.2,State,AL,01,0.0
2017,1.01,579332.0,366431.0,0.3874,70.0,0.2225,State,AL,01,2.020202020202011
2018,1.01,558242.0,401245.0,0.4182,70.0,0.2091,State,AL,01,0.0
2019,1.01,534585.0,437600.0,0.4501,71.0,0.1922,State,AL,01,0.0
2020,1.02,505750.0,485886.0,0.49,71.0,0.175,State,AL,01,0.990099009900991
2021,1.03,456883.0,543156.0,0.5431,71.0,0.163,State,AL,01,0.9803921568627416
2022,1.02,420148.0,589541.0,0.5839,72.0,0.1529,State,AL,01,-0.9708737864077666
2023,1.02,390938.0,630613.0,0.6173,72.0,0.1384,State,AL,01,0.0
2014,0.94,444779.0,109591.0,0.1977,70.0,0.2281,State,AR,05,
2015,0.94,446657.0,115911.0,0.206,70.0,0.2215,State,AR,05,0.0
2016,0.94,448670.0,122718.0,0.2148,70.0,0.2158,State,AR,05,0.0
2017,0.95,444843.0,132027.0,0.2289,71.0,0.2112,State,AR,05,1.0638297872340496
2018,0.95,438753.0,146344.0,0.2501,71.0,0.2007,State,AR,05,0.0
2019,0.97,429494.0,164405.0,0.2768,71.0,0.1909,State,AR,05,2.1052631578947434
2020,0.98,414587.0,189409.0,0.3136,71.0,0.1811,State,AR,05,1.0309278350515427
2021,0.98,389607.0,218734.0,0.3596,72.0,0.1684,State,AR,05,0.0
2022,0.99,369665.0,243308.0,0.3969,72.0,0.158,State,AR,05,1.0204081632652962
2023,1.0,337278.0,281931.0,0.4553,73.0,0.1564,State,AR,05,1.0101010101010166
2014,0.91,598257.0,403538.0,0.4028,72.0,0.1114,State,AZ,04,
2015,0.92,616634.0,429727.0,0.4107,72.0,0.1095,State,AZ,04,1.098901098901095
2016,0.91,639399.0,448018.0,0.412,72.0,0.1096,State,AZ,04,-1.0869565217391353
2017,0.91,657088.0,470252.0,0.4171,72.0,0.1075,State,AZ,04,0.0
2018,0.9,674543.0,493476.0,0.4225,73.0,0.1036,State,AZ,04,-1.098901098901095
2019,0.9,681997.0,531612.0,0.438,73.0,0.105,State,AZ,04,0.0
2020,0.9,681510.0,583980.0,0.4615,73.0,0.0963,State,AZ,04,0.0
2021,0.91,661421.0,636546.0,0.4904,73.0,0.0897,State,AZ,04,1.1111111111111072
2022,0.92,643111.0,679967.0,0.5139,74.0,0.0854,State,AZ,04,1.098901098901095
2023,0.92,630108.0,717858.0,0.5325,74.0,0.0837,State,AZ,04,0.0
2014,1.01,2718795.0,2082480.0,0.4337,72.0,0.2846,State,CA,06,
2015,1.02,2755869.0,2235829.0,0.4479,72.0,0.2868,State,CA,06,0.990099009900991
2016,1.02,2813891.0,2368606.0,0.457,72.0,0.3014,State,CA,06,0.0
2017,1.03,2845247.0,2465038.0,0.4642,72.0,0.3033,State,CA,06,0.9803921568627416
2018,1.03,2859639.0,2583757.0,0.4747,72.0,0.3025,State,CA,06,0.0
2019,1.03,2855978.0,2717956.0,0.4876,72.0,0.3,State,CA,06,0.0
2020,1.02,2836548.0,2893692.0,0.505,72.0,0.2963,State,CA,06,-0.9708737864077666
2021,1.03,2778184.0,3049855.0,0.5233,73.0,0.2988,State,CA,06,0.9803921568627416
2022,1.03,2734833.0,3188104.0,0.5383,73.0,0.3027,State,CA,06,0.0
2023,1.04,2682940.0,3330516.0,0.5538,73.0,0.306,State,CA,06,0.9708737864077666
2014,0.88,419069.0,270160.0,0.392,71.0,0.1715,State,CO,08,
2015,0.88,430901.0,287562.0,0.4002,71.0,0.1739,State,CO,08,0.0
2016,0.86,447350.0,299451.0,0.401,71.0,0.1745,State,CO,08,-2.2727272727272707
2017,0.87,456708.0,316072.0,0.409,71.0,0.1685,State,CO,08,1.1627906976744207
2018,0.87,470889.0,330817.0,0.4126,71.0,0.1589,State,CO,08,0.0
2019,0.87,451034.0,377176.0,0.4554,71.0,0.1612,State,CO,08,0.0
2020,0.87,447254.0,408647.0,0.4774,72.0,0.1472,State,CO,08,0.0
2021,0.88,438315.0,439701.0,0.5008,72.0,0.1491,State,CO,08,1.1494252873563315
2022,0.89,424280.0,475367.0,0.5284,72.0,0.1396,State,CO,08,1.1363636363636465
2023,0.89,411522.0,508022.0,0.5525,73.0,0.1309,State,CO,08,0.0
2014,1.05,414271.0,147477.0,0.2625,73.0,0.276,State,CT,09,
2015,1.05,412121.0,158559.0,0.2778,73.0,0.2779,State,CT,09,0.0
2016,1.06,412621.0,167221.0,0.2884,73.0,0.2735,State,CT,09,0.952380952380949
2017,1.04,408995.0,182616.0,0.3087,73.0,0.2681,State,CT,09,-1.8867924528301883
2018,1.06,349723.0,236533.0,0.4035,73.0,0.2998,State,CT,09,1.9230769230769162
2019,1.07,332304.0,278405.0,0.4559,73.0,0.2974,State,CT,09,0.9433962264151052
2020,1.07,316942.0,309104.0,0.4937,73.0,0.2868,State,CT,09,0.0
2021,1.07,297922.0,336125.0,0.5301,73.0,0.271,State,CT,09,0.0
2022,1.07,277574.0,362846.0,0.5666,74.0,0.2604,State,CT,09,0.0
2023,1.07,263913.0,390698.0,0.5968,74.0,0.2486,State,CT,09,0.0
2014,1.15,60204.0,9266.0,0.1334,71.0,0.4174,State,DC,11,
2015,1.15,60160.0,10520.0,0.1488,71.0,0.4157,State,DC,11,0.0
2016,1.15,59770.0,11789.0,0.1647,71.0,0.4098,State,DC,11,0.0
2017,1.15,59778.0,13314.0,0.1822,71.0,0.414,State,DC,11,0.0
2018,1.14,59607.0,15075.0,0.2019,71.0,0.4097,State,DC,11,-0.8695652173913104
2019,1.13,58445.0,16784.0,0.2231,72.0,0.3958,State,DC,11,-0.8771929824561431
2020,1.11,57219.0,19816.0,0.2572,72.0,0.3838,State,DC,11,-1.7699115044247593
2021,1.09,54075.0,22434.0,0.2932,72.0,0.3779,State,DC,11,-1.8018018018018056
2022,1.09,52245.0,25206.0,0.3254,72.0,0.3843,State,DC,11,0.0
2023,1.08,49144.0,28298.0,0.3654,73.0,0.3708,State,DC,11,-0.9174311926605561
2014,0.99,151409.0,12995.0,0.079,72.0,0.1649,State,DE,10,
2015,0.99,156300.0,14286.0,0.0837,72.0,0.1636,State,DE,10,0.0
2016,0.99,159290.0,17198.0,0.0974,72.0,0.1636,State,DE,10,0.0
2017,0.97,159656.0,21544.0,0.1189,72.0,0.1705,State,DE,10,-2.020202020202022
2018,0.97,161419.0,27124.0,0.1439,72.0,0.1534,State,DE,10,0.0
2019,0.96,161453.0,32768.0,0.1687,72.0,0.1475,State,DE,10,-1.0309278350515427
2020,0.97,161803.0,40094.0,0.1986,73.0,0.1405,State,DE,10,1.041666666666674
2021,0.98,156910.0,50325.0,0.2428,73.0,0.1311,State,DE,10,1.0309278350515427
2022,0.99,152948.0,60842.0,0.2846,73.0,0.1251,State,DE,10,1.0204081632652962
2023,0.98,150520.0,69888.0,0.3171,73.0,0.1204,State,DE,10,-1.0101010101010055
2014,1.07,2208281.0,1401254.0,0.3882,73.0,0.1845,State,FL,12,
2015,1.07,2215364.0,1578682.0,0.4161,73.0,0.1792,State,FL,12,0.0
2016,1.07,2242553.0,1674057.0,0.4274,73.0,0.1714,State,FL,12,0.0
2017,1.06,2222673.0,1801714.0,0.4477,73.0,0.1627,State,FL,12,-0.9345794392523366
2018,1.07,2200541.0,1928864.0,0.4671,73.0,0.1515,State,FL,12,0.9433962264151052
2019,1.07,2181847.0,2075549.0,0.4875,73.0,0.1442,State,FL,12,0.0
2020,1.09,2142151.0,2263862.0,0.5138,73.0,0.1383,State,FL,12,1.869158878504673
2021,1.1,2079034.0,2435488.0,0.5395,74.0,0.1282,State,FL,12,0.917431192660545
2022,1.1,2023304.0,2592290.0,0.5616,74.0,0.1201,State,FL,12,0.0
2023,1.11,1963380.0,2729100.0,0.5816,74.0,0.1119,State,FL,12,0.9090909090909038
2014,1.02,948452.0,414452.0,0.3041,70.0,0.2085,State,GA,13,
2015,1.02,942086.0,471338.0,0.3335,70.0,0.2025,State,GA,13,0.0
2016,1.02,942035.0,518474.0,0.355,71.0,0.1946,State,GA,13,0.0
2017,1.02,934137.0,565659.0,0.3772,71.0,0.1884,State,GA,13,0.0
2018,1.01,922694.0,621901.0,0.4026,71.0,0.1814,State,GA,13,-0.9803921568627416
2019,1.02,908154.0,677051.0,0.4271,71.0,0.1725,State,GA,13,0.990099009900991
2020,1.03,877833.0,754641.0,0.4623,72.0,0.1584,State,GA,13,0.9803921568627416
2021,1.01,817181.0,848603.0,0.5094,72.0,0.1433,State,GA,13,-1.9417475728155331
2022,1.0,774650.0,928498.0,0.5452,72.0,0.1309,State,GA,13,-0.990099009900991
