ccn,hsanum,hrrnum,STATE_CD,ctrl_type,net_patient_revenue,commercial_share,commercial_revenue_bil,spend_at_risk_bil,fy
010001,1026,2,AL,9,435666482.0,0.4,0.18633059396826981,0.18633059396826981,2023
010005,1012,1,AL,13,199663299.0,0.4,0.0853941779627983,0.0853941779627983,2023
010006,1036,1,AL,4,259521802.0,0.4,0.11099511555808812,0.11099511555808812,2023
010007,1065,2,AL,9,20060743.0,0.4,0.008579797420896868,0.008579797420896868,2023
010008,1056,7,AL,9,10690770.0,0.4,0.004572345145611087,0.004572345145611087,2023
010011,1011,1,AL,1,243331705.0,0.4,0.10407075824566603,0.10407075824566603,2023
010012,1038,1,AL,4,52028919.0,0.4,0.022252295692549974,0.022252295692549974,2023
010016,1001,1,AL,4,158264421.0,0.4,0.06768825417461037,0.06768825417461037,2023
010018,1011,1,AL,10,97198126.0,0.4,0.04157075492023444,0.04157075492023444,2023
010019,1061,1,AL,13,93652837.0,0.4,0.04005446704303399,0.04005446704303399,2023
010021,1066,2,AL,9,33795241.0,0.4,0.014453917363399155,0.014453917363399155,2023
010022,1018,148,AL,2,15463745.0,0.4,0.006613703164853207,0.006613703164853207,2023
010023,1059,7,AL,11,679227367.0,0.4,0.29049937041659774,0.29049937041659774,2023
010024,1059,7,AL,2,292053148.0,0.4,0.12490847651929995,0.12490847651929995,2023
010029,1064,1,AL,9,419127092.0,0.4,0.1792568472149613,0.1792568472149613,2023
010033,1011,1,AL,10,2534353450.0,0.4,1.083919932275244,1.083919932275244,2023
010034,1079,7,AL,2,16272299.0,0.4,0.00695951436057292,0.00695951436057292,2023
010035,1022,1,AL,9,179023307.0,0.4,0.07656664101020724,0.07656664101020724,2023
010036,1003,134,AL,4,64368314.0,0.4,0.02752974276399831,0.02752974276399831,2023
010039,1051,5,AL,13,1436543296.0,0.4,0.6143965089442341,0.6143965089442341,2023
010040,1039,1,AL,4,165166279.0,0.4,0.07064011610055183,0.07064011610055183,2023
010044,1048,262,AL,2,18553479.0,0.4,0.007935154309731409,0.007935154309731409,2023
010045,1033,9,AL,13,23027736.0,0.4,0.009848753355840007,0.009848753355840007,2023
010046,1039,1,AL,4,117484433.0,0.4,0.05024702401346405,0.05024702401346405,2023
010049,1028,2,AL,4,61806771.0,0.4,0.026434194108351985,0.026434194108351985,2023
010051,1082,9,AL,9,10012454.0,0.4,0.0042822355585756975,0.0042822355585756975,2023
010052,1023,1,AL,5,8377611.0,0.4,0.0035830280688545395,0.0035830280688545395,2023
010055,1026,2,AL,4,235388415.0,0.4,0.10067348532035933,0.10067348532035933,2023
010056,1011,1,AL,1,476800280.0,0.4,0.20392314545014129,0.20392314545014129,2023
010058,1019,9,AL,9,21891855.0,0.4,0.009362947377754062,0.009362947377754062,2023
010059,1060,1,AL,4,12390017.0,0.4,0.005299097640674043,0.005299097640674043,2023
010061,1074,5,AL,13,53239845.0,0.4,0.022770197734946755,0.022770197734946755,2023
010062,1040,2,AL,9,22384163.0,0.4,0.009573503034076808,0.009573503034076808,2023
010065,1002,1,AL,2,78758724.0,0.4,0.03368439030639733,0.03368439030639733,2023
010069,1029,2,AL,9,14264546.0,0.4,0.006100816653753289,0.006100816653753289,2023
010073,1006,1,AL,9,17618677.0,0.4,0.0075353479920566725,0.0075353479920566725,2023
010078,1004,1,AL,13,212168140.0,0.4,0.09074238478447609,0.09074238478447609,2023
010079,1007,5,AL,13,92217633.0,0.4,0.03944064333881422,0.03944064333881422,2023
010083,1037,6,AL,4,180353012.0,0.4,0.07713534375115526,0.07713534375115526,2023
010085,1024,5,AL,13,178785758.0,0.4,0.07646504346232298,0.07646504346232298,2023
010086,1088,1,AL,2,23666364.0,0.4,0.01012188874605524,0.01012188874605524,2023
010087,1057,6,AL,10,375249874.0,0.4,0.16049095993787837,0.16049095993787837,2023
010089,1054,1,AL,4,118146783.0,0.4,0.05053030508743678,0.05053030508743678,2023
010090,1057,6,AL,1,60518679.0,0.4,0.025883288869225102,0.025883288869225102,2023
010091,1045,6,AL,12,9433558.0,0.4,0.0040346470017726165,0.0040346470017726165,2023
010092,1082,9,AL,8,532570934.0,0.4,0.22777574718831878,0.22777574718831878,2023
010095,1082,9,AL,9,9506810.0,0.4,0.004065976216282545,0.004065976216282545,2023
010097,1059,7,AL,5,13143685.0,0.4,0.005621434593129518,0.005621434593129518,2023
010099,1013,134,AL,9,31640053.0,0.4,0.013532163047322831,0.013532163047322831,2023
010100,1032,6,AL,9,255575184.0,0.4,0.1093071829158293,0.1093071829158293,2023
010101,1078,1,AL,4,32935663.0,0.4,0.014086283666708076,0.014086283666708076,2023
010102,1016,1,AL,8,2894933.0,0.4,0.0012381365279974538,0.0012381365279974538,2023
010103,1011,1,AL,4,211665582.0,0.4,0.09052744529632997,0.09052744529632997,2023
010104,1011,1,AL,4,665764755.0,0.4,0.2847415336447426,0.2847415336447426,2023
010108,1070,7,AL,11,56474872.0,0.4,0.02415378937515329,0.02415378937515329,2023
010110,1083,7,AL,4,23610710.0,0.4,0.01009808603617243,0.01009808603617243,2023
010112,1025,1,AL,8,39634754.0,0.4,0.016951423989982915,0.016951423989982915,2023
010113,1057,6,AL,2,411878865.0,0.4,0.176156846416353,0.176156846416353,2023
010114,1010,1,AL,10,145241555.0,0.4,0.06211849276948767,0.06211849276948767,2023
010118,1075,1,AL,4,63976142.0,0.4,0.027362014364599143,0.027362014364599143,2023
010120,1058,6,AL,9,22336410.0,0.4,0.009553079510070738,0.009553079510070738,2023
010125,1047,1,AL,2,17225087.0,0.4,0.007367013126947699,0.007367013126947699,2023
010126,1081,7,AL,8,40888286.0,0.4,0.01748754823127406,0.01748754823127406,2023
010128,1057,6,AL,4,14123216.0,0.4,0.006040371097499698,0.006040371097499698,2023
010129,1057,6,AL,2,74686445.0,0.4,0.03194271359674742,0.03194271359674742,2023
010130,1011,1,AL,1,41687037.0,0.4,0.017829166773006975,0.017829166773006975,2023
010131,1051,5,AL,4,262767946.0,0.4,0.11238346183813666,0.11238346183813666,2023
010138,25056,260,AL,8,4113653.0,0.4,0.0017593719933436493,0.0017593719933436493,2023
010139,1011,1,AL,4,317359585.0,0.4,0.13573180957853356,0.13573180957853356,2023
010144,1057,6,AL,4,226195419.0,0.4,0.09674172449918163,0.09674172449918163,2023
010148,1031,7,AL,4,11919247.0,0.4,0.005097753591162237,0.005097753591162237,2023
010149,1059,7,AL,11,187500104.0,0.4,0.08019209002962126,0.08019209002962126,2023
010150,1044,7,AL,12,19186024.0,0.4,0.008205688056143553,0.008205688056143553,2023
010157,1061,1,AL,4,39648413.0,0.4,0.016957265820117123,0.016957265820117123,2023
010158,1073,1,AL,2,48590057.0,0.4,0.020781525675785378,0.020781525675785378,2023
010164,1077,1,AL,12,82715687.0,0.4,0.035376747411115954,0.035376747411115954,2023
010168,1068,146,AL,5,79983752.0,0.4,0.03420832364600128,0.03420832364600128,2023
010169,1008,134,AL,2,17797192.0,0.4,0.007611697234783695,0.007611697234783695,2023
010173,1001,1,AL,1,32255968.0,0.4,0.01379558429390835,0.01379558429390835,2023
010174,1080,6,AL,5,6325969.0,0.4,0.0027055594357035294,0.0027055594357035294,2023
010175,1084,1,AL,9,0.0,0.4,0.0,0.0,2023
011300,1057,6,AL,9,18607819.0,0.4,0.007958395033759006,0.007958395033759006,2023
011302,1071,1,AL,13,8211616.0,0.4,0.0035120335163156945,0.0035120335163156945,2023
011304,25056,260,AL,2,18675948.0,0.4,0.007987533187739058,0.007987533187739058,2023
011305,1063,1,AL,1,26129617.0,0.4,0.011175399662197105,0.011175399662197105,2023
011306,1086,1,AL,2,13263057.0,0.4,0.005672488912390142,0.005672488912390142,2023
012006,1057,6,AL,2,13608173.0,0.4,0.005820091888347225,0.005820091888347225,2023
012008,1011,1,AL,4,15353292.0,0.4,0.0065664634208152965,0.0065664634208152965,2023
012009,1011,1,AL,2,9477946.0,0.4,0.004053631345867886,0.004053631345867886,2023
012010,1026,2,AL,2,7300400.0,0.4,0.0031223147164347546,0.0031223147164347546,2023
012011,1004,1,AL,2,6591661.0,0.4,0.0028191934888566425,0.0028191934888566425,2023
012012,1082,9,AL,2,5549142.0,0.4,0.0023733175894726575,0.0023733175894726575,2023
012014,1007,5,AL,4,10111007.0,0.4,0.004324385780789384,0.004324385780789384,2023
013025,1011,1,AL,4,49217582.0,0.4,0.021049912413831334,0.021049912413831334,2023
013028,1059,7,AL,4,34072869.0,0.4,0.01457265633524924,0.01457265633524924,2023
013029,1051,5,AL,4,44060927.0,0.4,0.018844457946394364,0.018844457946394364,2023
013030,1026,2,AL,4,31599008.0,0.4,0.013514608473938351,0.013514608473938351,2023
013031,1011,1,AL,4,17822163.0,0.4,0.007622377104487285,0.007622377104487285,2023
013032,1039,1,AL,4,24271231.0,0.4,0.010380584863471511,0.010380584863471511,2023
013033,1068,146,AL,5,32908139.0,0.4,0.01407451190211228,0.01407451190211228,2023
013300,1011,1,AL,2,860206699.0,0.4,0.3679025855382529,0.3679025855382529,2023
013301,1057,6,AL,10,273503514.0,0.4,0.11697496668111595,0.11697496668111595,2023
014000,1011,1,AL,4,0.0,0.4,0.0,0.0,2023
014006,1039,1,AL,4,0.0,0.4,0.0,0.0,2023
014007,1082,9,AL,10,64739671.0,0.4,0.027688568777114172,0.027688568777114172,2023
014012,1082,9,AL,10,26754082.0,0.4,0.011442477666059691,0.011442477666059691,2023
014013,1026,2,AL,4,0.0,0.4,0.0,0.0,2023
014014,1057,6,AL,9,0.0,0.4,0.0,0.0,2023
014015,1056,7,AL,4,0.0,0.4,0.0,0.0,2023
014016,1022,1,AL,6,3570856.0,0.4,0.0015272226506861737,0.0015272226506861737,2023
014017,1057,6,AL,9,80724893.0,0.4,0.03452530291443221,0.03452530291443221,2023
014018,1051,5,AL,6,5151658.0,0.4,0.0022033172959617054,0.0022033172959617054,2023
020001,2001,10,AK,1,804631256.0,0.4,0.3441334737702291,0.3441334737702291,2023
020006,2009,10,AK,4,335158011.0,0.4,0.14334403458389972,0.14334403458389972,2023
020008,2005,10,AK,8,126243553.0,0.4,0.05399322001354869,0.05399322001354869,2023
020012,2003,10,AK,2,318311036.0,0.4,0.1361387365221622,0.1361387365221622,2023
020017,2001,10,AK,4,365084740.0,0.4,0.15614342453122515,0.15614342453122515,2023
020018,2017,10,AK,7,0.0,0.4,0.0,0.0,2023
020024,2013,10,AK,2,250707563.0,0.4,0.1072253456627573,0.1072253456627573,2023
020026,2001,10,AK,7,0.0,0.4,0.0,0.0,2023
021301,2014,10,AK,12,20895315.0,0.4,0.00893673627870252,0.00893673627870252,2023
021302,2011,10,AK,12,29673662.0,0.4,0.012691155491906027,0.012691155491906027,2023
