hsa,year,n_hospitals,hhi_pre,hhi_post,hhi_shift,concentrated_pre,concentrated_post
10016,2025,3,7893.62493239589,9942.029475392104,2048.4045429962143,True,True
10025,2024,3,4003.52733686067,7551.020408163265,3547.4930713025947,True,True
10036,2019,16,1161.713217068631,1822.9981787851473,661.2849617165164,False,False
10037,2025,9,2883.2390166889786,5552.6436217591445,2669.404605070166,True,True
10045,2019,7,2041.1911372372197,3563.705792615558,1522.5146553783384,False,True
10045,2025,7,2084.688640251934,3636.990719011643,1552.3020787597088,False,True
10050,2023,27,905.0898623238556,1343.0097633510222,437.9199010271666,False,False
10074,2019,40,680.0759411211018,961.7640411310774,281.68810000997564,False,False
10074,2025,42,653.4677402622327,942.2340195838146,288.7662793215819,False,False
10091,2021,9,1901.4761614083739,3417.655359849475,1516.1791984411013,False,True
10099,2025,3,3806.1206953532956,7365.377751338491,3559.2570559851956,True,True
10109,2020,2,5279.338842975207,10000.0,4720.661157024793,True,True
1011,2020,24,800.1288192312192,1129.6875053378453,329.55868610662617,False,False
1011,2023,24,800.1288192312192,1129.6875053378453,329.55868610662617,False,False
1011,2025,24,800.1288192312192,1129.6875053378453,329.55868610662617,False,False
10112,2020,4,3930.4488040849233,6075.03359312013,2144.5847890352065,True,True
1022,2023,3,3817.762399077278,7354.863514033063,3537.1011149557853,True,True
1057,2021,22,1051.4379220374217,1646.2684194136007,594.830497376179,False,False
1057,2024,22,1051.4379220374217,1646.2684194136007,594.830497376179,False,False
1057,2025,22,1051.4379220374217,1646.2684194136007,594.830497376179,False,False
1059,2020,11,1430.2504660776524,2255.2995166560995,825.0490505784471,False,False
11032,2020,17,1901.6608339856975,3064.1801744603354,1162.5193404746378,False,True
11069,2019,2,5496.340776881216,10000.0,4503.659223118784,True,True
11102,2019,15,1572.2636317077856,2543.3039015378913,971.0402698301057,False,True
11102,2025,16,1418.9797127849051,2408.4409202367847,989.4612074518795,False,False
13009,2024,8,3465.9751380961284,4411.132342251434,945.1572041553059,True,True
13020,2024,4,3660.0823045267493,5808.2304526748985,2148.148148148149,True,True
14003,2023,4,3702.988029031954,5620.22810821001,1917.240079178056,True,True
14005,2023,4,3799.6288,7186.508800000001,3386.8800000000015,True,True
14005,2025,4,3799.6288,7186.508800000001,3386.8800000000015,True,True
14011,2020,3,3423.0954782684976,5870.356563308627,2447.2610850401297,True,True
14023,2019,73,218.1346139429672,267.45740227117517,49.32278832820796,False,False
14023,2020,73,218.1346139429672,267.45740227117517,49.32278832820796,False,False
14023,2021,73,220.63333801540173,269.35422508058656,48.720887065184826,False,False
14023,2022,74,221.41354934518674,269.1204312002452,47.70688185505847,False,False
14023,2025,76,217.5374788329913,264.3033732577303,46.765894424739,False,False
14028,2021,3,3593.535665294924,6492.198216735254,2898.6625514403304,True,True
14037,2025,5,3594.9921875767727,7065.624355106571,3470.632167529798,True,True
14039,2021,3,3751.6474419719198,7222.222222222221,3470.574780250301,True,True
14040,2025,2,5009.536660024653,10000.0,4990.463339975347,True,True
14068,2025,5,3382.0479267923592,6379.0747565383035,2997.0268297459443,True,True
14069,2022,4,4422.090729783037,8049.061290086932,3626.9705603038947,True,True
14069,2025,4,4422.090729783037,8049.061290086932,3626.9705603038947,True,True
14070,2021,2,6464.944028280448,10000.0,3535.055971719552,True,True
14084,2019,6,4202.261655021283,6254.999026648599,2052.737371627316,True,True
14085,2020,2,5761.451516954194,10000.0,4238.548483045806,True,True
14088,2019,2,6601.993592025632,10000.0,3398.006407974368,True,True
14093,2023,2,6326.905417814508,10000.0,3673.094582185492,True,True
14097,2020,2,5799.194563353342,10000.0,4200.805436646658,True,True
14098,2019,3,3404.39437766459,6106.219458089303,2701.8250804247127,True,True
14098,2025,3,3404.39437766459,6106.219458089303,2701.8250804247127,True,True
14106,2019,7,2848.3225607879344,5085.181765329502,2236.8592045415676,True,True
14111,2021,2,6761.187124066363,10000.0,3238.812875933637,True,True
14113,2023,2,5932.334710743803,10000.0,4067.665289256197,True,True
14137,2023,2,7764.628533859303,10000.0,2235.3714661406966,True,True
14139,2022,6,4506.975289689753,5814.41835370644,1307.4430640166875,True,True
14146,2020,2,5432.525951557094,10000.0,4567.474048442906,True,True
15019,2024,7,2967.6931292274835,4587.486650053401,1619.7935208259173,True,True
15039,2020,48,863.2965201654004,1325.263608602979,461.9670884375787,False,False
15048,2021,2,7175.192394748755,10000.0,2824.807605251245,True,True
16022,2021,2,5000.0,10000.0,5000.0,True,True
16036,2021,2,5790.390477572943,10000.0,4209.609522427057,True,True
16054,2024,7,3985.7161854299998,6767.017537712866,2781.3013522828664,True,True
16062,2019,2,5525.931336742148,10000.0,4474.068663257852,True,True
16072,2021,3,3559.556786703601,6575.869498307172,3016.3127116035707,True,True
16072,2025,3,3559.556786703601,6575.869498307172,3016.3127116035707,True,True
16077,2024,2,5000.0,10000.0,5000.0,True,True
16088,2021,2,5114.784205693297,10000.0,4885.215794306703,True,True
16098,2025,6,3585.527449291252,6947.8580938209725,3362.3306445297203,True,True
17071,2023,4,4869.804248229904,8918.117451062057,4048.3132028321525,True,True
17083,2022,4,2772.776238842721,4688.750384733765,1915.974145891044,True,True
17108,2019,7,3199.9341747906774,6281.073643808904,3081.139469018227,True,True
17108,2025,8,3277.8877865484433,6266.777276167821,2988.8894896193774,True,True
17121,2019,2,5318.8450158147125,10000.0,4681.1549841852875,True,True
17123,2021,24,1840.141156878424,3279.745706147859,1439.604549269435,False,True
17123,2022,24,1957.52670853606,3455.6305309297295,1498.1038223936696,False,True
18020,2019,2,5614.774835554056,10000.0,4385.225164445944,True,True
19002,2019,27,940.5824187583949,1522.3665737242093,581.7841549658144,False,False
19006,2021,3,4308.311559918085,8460.56069486618,4152.249134948096,True,True
19007,2019,51,732.3429108478877,1217.1204018366755,484.7774909887878,False,False
19007,2020,52,793.0121512187717,1292.3441644139718,499.33201319520015,False,False
19007,2022,52,751.1554547559002,1118.4029287220944,367.2474739661942,False,False
19007,2024,52,734.3739946332242,1095.6459711225523,361.27197648932804,False,False
19007,2025,53,720.1212944388546,1072.6713547102736,352.55006027141894,False,False
19009,2020,5,2891.579288725543,4916.716620316231,2025.1373315906876,True,True
19020,2019,2,5555.555555555556,10000.0,4444.444444444444,True,True
19033,2024,16,2065.4953852996778,2842.570365185993,777.0749798863153,False,True
19036,2019,6,3083.2073048259617,5342.461200234568,2259.2538954086067,True,True
19040,2022,4,2973.157571204153,5382.829041732122,2409.671470527969,True,True
19047,2023,17,1676.0896381578946,2942.239439058171,1266.1498009002762,False,True
19047,2025,17,1676.0896381578946,2942.239439058171,1266.1498009002762,False,True
