ccn,year,FAC_NAME,STATE_CD,zip5,prev_ctrl,new_ctrl,prev_cat,new_cat,chow_dt,prev_chow_dt,chow_cnt,prev_chow_cnt,event_kind,classified_layer,beds
010006,2019,NORTH ALABAMA MEDICAL CENTER,AL,35630,08,04,government,forprofit,20100701,20100701,1,1.0,ctrl_change,government_transition,338.0
010012,2024,DEKALB REGIONAL MEDICAL CENTER,AL,35968,04,04,forprofit,forprofit,20240401,20060401,2,1.0,"chow_dt_change,chow_cnt_increment",consolidation_horizontal,134.0
010018,2025,UAB CALLAHAN EYE HOSPITAL AUTHORITY,AL,35233,02,02,nonprofit,nonprofit,20130101,,3,2.0,chow_cnt_increment,consolidation_horizontal,106.0
010022,2023,FLOYD CHEROKEE MEDICAL CENTER,AL,35960,02,04,nonprofit,forprofit,20180601,20180601,4,4.0,ctrl_change,tax_status_change,60.0
010051,2023,GREENE COUNTY HOSPITAL,AL,35462,07,03,government,forprofit,,,4,4.0,ctrl_change,government_transition,20.0
010062,2019,WIREGRASS MEDICAL CENTER,AL,36340,02,08,nonprofit,government,,,0,0.0,ctrl_change,government_transition,83.0
010089,2023,WALKER BAPTIST MEDICAL CENTER,AL,35502,02,04,nonprofit,forprofit,20151003,20151003,2,2.0,ctrl_change,tax_status_change,267.0
010090,2024,PROVIDENCE HOSPITAL,AL,36608,01,01,nonprofit,nonprofit,20231001,,1,0.0,chow_cnt_increment,consolidation_horizontal,349.0
010097,2020,ELMORE COMMUNITY HOSPITAL,AL,36092,06,04,forprofit,forprofit,20000701,20000701,1,1.0,ctrl_change,consolidation_horizontal,38.0
010102,2023,J PAUL JONES HOSPITAL,AL,36726,03,07,forprofit,government,,,7,7.0,ctrl_change,government_transition,30.0
010120,2021,MONROE COUNTY HOSPITAL,AL,36460,07,08,government,government,,,0,0.0,ctrl_change,consolidation_horizontal,94.0
010125,2023,LAKELAND COMMUNITY HOSPITAL,AL,35565,01,04,nonprofit,forprofit,20150101,20150101,4,4.0,ctrl_change,tax_status_change,49.0
