hsa,year,n_hospitals,hhi_pre,hhi_post,hhi_shift,concentrated_pre,concentrated_post,spend_at_risk_bil,n_hospitals_spend,raw_uplift,shift_intensity,blended_uplift,raw_savings_bil,booked_savings_bil
16077,2024,2,5000.0,10000.0,5000.0,True,True,0.007831260489353498,1.0,0.153,1.0,0.153,0.0011981828548710853,0.0011981828548710853
37077,2023,2,5000.0,10000.0,5000.0,True,True,0.00497178151064902,1.0,0.153,1.0,0.153,0.0007606825711293,0.0007606825711293
2015,2021,2,5000.0,10000.0,5000.0,True,True,0.006117566740536815,1.0,0.153,1.0,0.153,0.0009359877113021326,0.0009359877113021326
16022,2021,2,5000.0,10000.0,5000.0,True,True,0.010489882558492203,1.0,0.153,1.0,0.153,0.001604952031449307,0.001604952031449307
43020,2022,2,5000.0,10000.0,5000.0,True,True,0.005185328009502587,1.0,0.153,1.0,0.153,0.0007933551854538959,0.0007933551854538959
5013,2019,2,5000.0,10000.0,5000.0,True,True,0.005702318642571016,1.0,0.153,1.0,0.153,0.0008724547523133654,0.0008724547523133654
32025,2020,2,5000.0,10000.0,5000.0,True,True,0.038155255519124284,1.0,0.153,1.0,0.153,0.005837754094426015,0.005837754094426015
5035,2020,2,5000.0,10000.0,5000.0,True,True,0.002992401036498675,1.0,0.153,1.0,0.153,0.0004578373585842973,0.0004578373585842973
46010,2019,2,5000.0,10000.0,5000.0,True,True,0.006171125617764048,1.0,0.153,1.0,0.153,0.0009441822195178993,0.0009441822195178993
37007,2025,2,5000.0,10000.0,5000.0,True,True,0.004859209841715351,1.0,0.153,1.0,0.153,0.0007434591057824487,0.0007434591057824487
5041,2019,2,5000.0,10000.0,5000.0,True,True,0.07257303608350155,1.0,0.153,1.0,0.153,0.011103674520775736,0.011103674520775736
37044,2019,2,5000.0,10000.0,5000.0,True,True,0.0025767188322596336,1.0,0.153,1.0,0.153,0.0003942379813357239,0.0003942379813357239
5274,2019,2,5001.388888888889,10000.0,4998.611111111111,True,True,0.09692176141526812,1.0,0.153,1.0,0.153,0.014829029496536023,0.014829029496536023
37097,2024,2,5001.436368859523,10000.0,4998.563631140477,True,True,0.009008586213060563,2.0,0.153,1.0,0.153,0.001378313690598266,0.001378313690598266
46008,2023,2,5001.922337562475,10000.0,4998.077662437525,True,True,0.05935877055699256,1.0,0.153,1.0,0.153,0.009081891895219862,0.009081891895219862
4010,2023,2,5001.922337562475,10000.0,4998.077662437525,True,True,0.0023723356111442183,1.0,0.153,1.0,0.153,0.00036296734850506536,0.00036296734850506536
20019,2019,2,5006.194034009319,10000.0,4993.805965990681,True,True,0.2643290154088499,2.0,0.153,1.0,0.153,0.040442339357554036,0.040442339357554036
45094,2024,2,5007.3964497041425,10000.0,4992.6035502958575,True,True,0.0043696782481158925,1.0,0.153,1.0,0.153,0.0006685607719617315,0.0006685607719617315
37071,2020,2,5008.680555555556,10000.0,4991.319444444444,True,True,0.006763331684958152,1.0,0.153,1.0,0.153,0.0010347897477985973,0.0010347897477985973
14040,2025,2,5009.536660024653,10000.0,4990.463339975347,True,True,0.8916752014645154,2.0,0.153,1.0,0.153,0.13642630582407086,0.13642630582407086
52060,2021,2,5027.434842249659,10000.0,4972.565157750341,True,True,0.01615309015045314,1.0,0.153,1.0,0.153,0.002471422793019331,0.002471422793019331
37034,2024,2,5037.807183364838,10000.0,4962.192816635162,True,True,0.011276356956789711,1.0,0.153,1.0,0.153,0.0017252826143888257,0.0017252826143888257
45076,2022,2,5041.322314049586,10000.0,4958.677685950414,True,True,0.0046020119255554045,1.0,0.153,1.0,0.153,0.0007041078246099769,0.0007041078246099769
24048,2020,2,5041.322314049586,10000.0,4958.677685950414,True,True,0.01234416643542128,1.0,0.153,1.0,0.153,0.001888657464619456,0.001888657464619456
24014,2023,2,5057.397959183674,10000.0,4942.602040816326,True,True,0.009362553474426322,1.0,0.153,1.0,0.153,0.0014324706815872273,0.0014324706815872273
45236,2021,2,5057.397959183674,10000.0,4942.602040816326,True,True,0.0019208796284626985,1.0,0.153,1.0,0.153,0.00029389458315479285,0.00029389458315479285
4019,2022,2,5064.89344656305,10000.0,4935.10655343695,True,True,0.008109240334501758,1.0,0.153,1.0,0.153,0.001240713771178769,0.001240713771178769
29008,2020,2,5073.959094229365,10000.0,4926.040905770635,True,True,0.16936411568595997,2.0,0.153,1.0,0.153,0.025912709699951873,0.025912709699951873
45209,2022,2,5075.407817790088,10000.0,4924.592182209912,True,True,0.013751526997928762,1.0,0.153,1.0,0.153,0.0021039836306831006,0.0021039836306831006
30005,2025,2,5080.522559200185,10000.0,4919.477440799815,True,True,0.071663408515476,2.0,0.153,1.0,0.153,0.010964501502867827,0.010964501502867827
16088,2021,2,5114.784205693297,10000.0,4885.215794306703,True,True,0.0023376964966849057,1.0,0.153,1.0,0.153,0.00035766756399279056,0.00035766756399279056
45194,2019,2,5116.345877621373,10000.0,4883.654122378627,True,True,0.008335517480970441,1.0,0.153,1.0,0.153,0.0012753341745884775,0.0012753341745884775
37083,2022,2,5116.345877621373,10000.0,4883.654122378627,True,True,0.01811526205316487,1.0,0.153,1.0,0.153,0.002771635094134225,0.002771635094134225
33060,2024,2,5131.7123982346975,10000.0,4868.2876017653025,True,True,0.06064160249580672,1.0,0.153,1.0,0.153,0.009278165181858427,0.009278165181858427
26084,2023,2,5132.504056246621,10000.0,4867.495943753379,True,True,0.028885665796190167,1.0,0.153,1.0,0.153,0.004419506866817096,0.004419506866817096
44011,2025,2,5137.967572101854,10000.0,4862.032427898146,True,True,0.06969331577711849,1.0,0.153,1.0,0.153,0.010663077313899129,0.010663077313899129
37091,2019,2,5138.88888888889,10000.0,4861.11111111111,True,True,0.0038212878315374526,1.0,0.153,1.0,0.153,0.0005846570382252302,0.0005846570382252302
35042,2019,2,5138.88888888889,10000.0,4861.11111111111,True,True,0.002897765441240849,1.0,0.153,1.0,0.153,0.0004433581125098499,0.0004433581125098499
37048,2019,2,5138.88888888889,10000.0,4861.11111111111,True,True,0.007360845824031285,1.0,0.153,1.0,0.153,0.0011262094110767865,0.0011262094110767865
28063,2020,2,5162.590701424348,10000.0,4837.409298575652,True,True,0.012619725977712118,1.0,0.153,1.0,0.153,0.001930818074589954,0.001930818074589954
5229,2024,2,5164.382320975727,10000.0,4835.617679024273,True,True,0.08811701525586779,1.0,0.153,1.0,0.153,0.013481903334147772,0.013481903334147772
33038,2023,2,5190.805840995133,10000.0,4809.194159004867,True,True,0.10216407025696565,1.0,0.153,1.0,0.153,0.015631102749315746,0.015631102749315746
5272,2025,2,5212.899974804736,10000.0,4787.100025195264,True,True,0.0384575701216469,1.0,0.153,1.0,0.153,0.005884008228611975,0.005884008228611975
42037,2019,2,5232.602845059592,10000.0,4767.397154940408,True,True,0.014278790338954841,1.0,0.153,1.0,0.153,0.0021846549218600907,0.0021846549218600907
42019,2019,2,5266.2721893491125,10000.0,4733.7278106508875,True,True,0.007236102071810435,1.0,0.153,1.0,0.153,0.0011071236169869964,0.0011071236169869964
37081,2020,2,5266.2721893491125,10000.0,4733.7278106508875,True,True,0.0066625617189839505,1.0,0.153,1.0,0.153,0.0010193719430045445,0.0010193719430045445
24099,2019,2,5266.2721893491125,10000.0,4733.7278106508875,True,True,0.025983202170307376,1.0,0.153,1.0,0.153,0.003975429932057029,0.003975429932057029
10109,2020,2,5279.338842975207,10000.0,4720.661157024793,True,True,0.17415624520234113,2.0,0.153,1.0,0.153,0.026645905515958194,0.026645905515958194
52046,2023,2,5293.84756657484,10000.0,4706.15243342516,True,True,0.014299330622579232,1.0,0.153,1.0,0.153,0.0021877975852546225,0.0021877975852546225
4034,2024,2,5297.910595821191,10000.0,4702.089404178809,True,True,0.004521315632423221,1.0,0.153,1.0,0.153,0.0006917612917607529,0.0006917612917607529
17121,2019,2,5318.8450158147125,10000.0,4681.1549841852875,True,True,0.0,,0.153,1.0,0.153,0.0,0.0
33052,2024,2,5367.896539854775,10000.0,4632.103460145225,True,True,0.024656025527222375,1.0,0.153,1.0,0.153,0.0037723719056650235,0.0037723719056650235
33108,2023,2,5379.529362765514,10000.0,4620.470637234486,True,True,0.12112756399270135,1.0,0.153,1.0,0.153,0.018532517290883305,0.018532517290883305
37062,2021,2,5382.526029877773,10000.0,4617.473970122227,True,True,0.003427922538961274,1.0,0.153,1.0,0.153,0.0005244721484610749,0.0005244721484610749
39113,2025,2,5398.726283374355,10000.0,4601.273716625645,True,True,0.04108356493436504,1.0,0.153,1.0,0.153,0.006285785434957851,0.006285785434957851
35035,2025,2,5408.163265306123,10000.0,4591.836734693877,True,True,0.004971645077248859,1.0,0.153,1.0,0.153,0.0007606616968190754,0.0007606616968190754
14146,2020,2,5432.525951557094,10000.0,4567.474048442906,True,True,0.012597818366249743,1.0,0.153,1.0,0.153,0.0019274662100362105,0.0019274662100362105
45207,2022,2,5437.413211664352,10000.0,4562.586788335648,True,True,0.009784344815618072,1.0,0.153,1.0,0.153,0.001497004756789565,0.001497004756789565
37039,2019,2,5466.820987654321,10000.0,4533.179012345679,True,True,0.005262756316394528,1.0,0.153,1.0,0.153,0.0008052017164083628,0.0008052017164083628
5116,2025,2,5473.372781065089,10000.0,4526.627218934911,True,True,0.08448511836830068,1.0,0.153,1.0,0.153,0.012926223110350004,0.012926223110350004
11069,2019,2,5496.340776881216,10000.0,4503.659223118784,True,True,0.007304395328564254,1.0,0.153,1.0,0.153,0.001117572485270331,0.001117572485270331
5073,2023,2,5525.931336742148,10000.0,4474.068663257852,True,True,0.03496020212662134,1.0,0.153,1.0,0.153,0.005348910925373065,0.005348910925373065
24081,2021,2,5525.931336742148,10000.0,4474.068663257852,True,True,0.045856738334250954,1.0,0.153,1.0,0.153,0.007016080965140396,0.007016080965140396
20011,2021,2,5525.931336742148,10000.0,4474.068663257852,True,True,0.010908928551735237,1.0,0.153,1.0,0.153,0.0016690660684154912,0.0016690660684154912
4065,2025,2,5525.931336742148,10000.0,4474.068663257852,True,True,0.004238068346032344,1.0,0.153,1.0,0.153,0.0006484244569429485,0.0006484244569429485
37004,2022,2,5525.931336742148,10000.0,4474.068663257852,True,True,0.02143738968565507,1.0,0.153,1.0,0.153,0.0032799206219052256,0.0032799206219052256
53023,2022,2,5525.931336742148,10000.0,4474.068663257852,True,True,0.01452103233169703,1.0,0.153,1.0,0.153,0.0022217179467496455,0.0022217179467496455
16062,2019,2,5525.931336742148,10000.0,4474.068663257852,True,True,0.011144744916251614,1.0,0.153,1.0,0.153,0.001705145972186497,0.001705145972186497
4024,2023,3,4520.742308905004,8983.829557227155,4463.08724832215,True,True,0.026394032648867933,1.0,0.153,1.0,0.153,0.004038286995276794,0.004038286995276794
19020,2019,2,5555.555555555556,10000.0,4444.444444444444,True,True,0.00473352859102066,1.0,0.153,1.0,0.153,0.000724229874426161,0.000724229874426161
4006,2021,2,5555.555555555556,10000.0,4444.444444444444,True,True,0.007917740446656185,1.0,0.153,1.0,0.153,0.0012114142883383964,0.0012114142883383964
24034,2025,2,5555.555555555556,10000.0,4444.444444444444,True,True,0.007346156352050205,1.0,0.153,1.0,0.153,0.0011239619218636815,0.0011239619218636815
37051,2023,2,5555.555555555556,10000.0,4444.444444444444,True,True,0.008878073765851044,1.0,0.153,1.0,0.153,0.0013583452861752098,0.0013583452861752098
18020,2019,2,5614.774835554056,10000.0,4385.225164445944,True,True,0.009713867769079843,1.0,0.153,1.0,0.153,0.001486221768669216,0.001486221768669216
24087,2020,2,5693.963860053826,10000.0,4306.036139946174,True,True,0.01654189326409663,1.0,0.153,1.0,0.153,0.002530909669406784,0.002530909669406784
14085,2020,2,5761.451516954194,10000.0,4238.548483045806,True,True,0.016939987107369332,1.0,0.153,1.0,0.153,0.002591818027427508,0.002591818027427508
16036,2021,2,5790.390477572943,10000.0,4209.609522427057,True,True,0.013588441183353296,1.0,0.153,1.0,0.153,0.0020790315010530544,0.0020790315010530544
14097,2020,2,5799.194563353342,10000.0,4200.805436646658,True,True,0.7482549185729434,2.0,0.153,1.0,0.153,0.11448300254166033,0.11448300254166033
45070,2024,2,5819.957653165767,10000.0,4180.042346834233,True,True,0.11359291313682733,1.0,0.153,1.0,0.153,0.01737971570993458,0.01737971570993458
19006,2021,3,4308.311559918085,8460.56069486618,4152.249134948096,True,True,0.018597682002319524,3.0,0.153,1.0,0.153,0.0028454453463548873,0.0028454453463548873
42028,2025,2,5881.358895169278,10000.0,4118.641104830722,True,True,0.08650868786723076,2.0,0.153,1.0,0.153,0.013235829243686307,0.013235829243686307
24040,2025,3,4893.122000872473,8987.035939195312,4093.9139383228385,True,True,0.059689193006093995,2.0,0.153,1.0,0.153,0.009132446529932382,0.009132446529932382
14113,2023,2,5932.334710743803,10000.0,4067.665289256197,True,True,0.009632587250165145,1.0,0.153,1.0,0.153,0.001473785849275267,0.001473785849275267
17071,2023,4,4869.804248229904,8918.117451062057,4048.3132028321525,True,True,0.06323814608479898,2.0,0.153,1.0,0.153,0.009675436350974244,0.009675436350974244
5201,2021,3,4417.7665264647585,8394.050868240973,3976.284341776214,True,True,0.412932992102959,2.0,0.153,1.0,0.153,0.06317874779175273,0.06317874779175273
46003,2019,3,4596.173362045495,8534.68973540259,3938.5163733570944,True,True,0.04878577482403803,3.0,0.153,1.0,0.153,0.007464223548077818,0.007464223548077818
51044,2024,5,4373.556884162824,8236.674075944065,3863.1171917812417,True,True,0.2011490498292473,2.0,0.153,1.0,0.153,0.030775804623874838,0.030775804623874838
25041,2020,2,6148.0034722222235,10000.0,3851.9965277777765,True,True,0.007276971359749873,1.0,0.153,1.0,0.153,0.0011133766180417305,0.0011133766180417305
51036,2023,3,4058.713251851154,7891.936615661754,3833.2233638106004,True,True,0.03721047346909335,1.0,0.153,1.0,0.153,0.005693202440771282,0.005693202440771282
52079,2021,3,4380.925021545532,8172.938810686583,3792.0137891410504,True,True,0.10067724814498198,2.0,0.153,1.0,0.153,0.015403618966182243,0.015403618966182243
23027,2019,2,6224.8750127538015,10000.0,3775.1249872461985,True,True,0.007406308512339812,1.0,0.153,1.0,0.153,0.0011331652023879913,0.0011331652023879913
50041,2023,2,6288.757396449704,10000.0,3711.242603550296,True,True,0.009029727402412938,1.0,0.153,1.0,0.153,0.0013815482925691794,0.0013815482925691794
6018,2019,2,6326.905417814508,10000.0,3673.094582185492,True,True,0.0028939803766909,1.0,0.153,1.0,0.153,0.00044277899763370764,0.00044277899763370764
