ein,filer_name,filer_state,ccn,rpt_rec_num,hcris_name,hcris_state,jaccard,hospital_facilities_cnt,match_type,match_scope,allocation_share,total_costs
841949748,PINEVILLE COMMUNITY HEALTH CENTER INC,KY,180154,827691,PINEVILLE COMMUNITY HEALTH CENTER,KY,1.0,1,single_facility_jaccard,same_state,1.0,41064878.0
540895648,BUCHANAN GENERAL HOSPITAL,VA,490127,825065,BUCHANAN GENERAL HOSPITAL,VA,1.0,1,single_facility_jaccard,same_state,1.0,25538642.0
344428205,THE BELLEVUE HOSPITAL,OH,360107,821340,THE BELLEVUE HOSPITAL,OH,1.0,1,single_facility_jaccard,same_state,1.0,49706668.0
566024172,HEALTHCARE FOUNDATION OF WILSON,NC,340126,821437,WILSON MEDICAL CENTER,NC,1.0,1,single_facility_jaccard,same_state,1.0,145097930.0
042156082,FRANCISCAN HOSPITAL FOR CHILDREN,MA,223300,812761,FRANCISCAN HOSPITAL FOR CHILDREN,MA,1.0,1,single_facility_jaccard,same_state,1.0,81649337.0
370673512,IROQUOIS MEMORIAL HOSPITAL,IL,140167,759187,IROQUOIS MEMORIAL HOSPITAL,IL,1.0,1,single_facility_jaccard,same_state,1.0,24536917.0
660229702,ASOCIACION HOSPITAL DEL MAESTRO INC,PR,400004,816195,ASOCIACION HOSPITAL DEL MAESTRO,PR,1.0,1,single_facility_jaccard,same_state,1.0,17576162.0
526049658,GREATER BALTIMORE MEDICAL CENTER INC,MD,210044,819546,GREATER BALTIMORE MEDICAL CENTER,MD,1.0,1,single_facility_jaccard,same_state,1.0,602812012.0
141364536,Garnet Health Medical Center,NY,330126,825848,GARNET HEALTH MEDICAL CENTER,NY,1.0,1,single_facility_jaccard,same_state,1.0,610135667.0
450227753,Cooperstown Medical Center,ND,351306,808483,COOPERSTOWN MEDICAL CENTER,ND,1.0,1,single_facility_jaccard,same_state,1.0,8039656.0
450222079,Jacobson Memorial Hospital Care Center,ND,351314,791740,JACOBSON MEMORIAL HOSPITAL,ND,1.0,1,single_facility_jaccard,same_state,1.0,13347014.0
391528430,AURORA MEDICAL CENTER BAY AREA INC,WI,520113,826762,AURORA MEDICAL CENTER - BAY AREA,WI,1.0,1,single_facility_jaccard,same_state,1.0,100057019.0
610525158,BRECKINRIDGE HEALTH INC,KY,181319,775373,BRECKINRIDGE HEALTH  INC,KY,1.0,1,single_facility_jaccard,same_state,1.0,25534987.0
410724034,KITTSON MEMORIAL HOSPITAL,MN,241336,814538,KITTSON MEMORIAL HOSPITAL,MN,1.0,1,single_facility_jaccard,same_state,1.0,16365746.0
382146751,MCLAREN NORTHERN MICHIGAN,MI,230105,822723,MCLAREN NORTHERN MICHIGAN,MI,1.0,1,single_facility_jaccard,same_state,1.0,218585484.0
381369611,MCLAREN PORT HURON,MI,230216,824091,MCLAREN PORT HURON,MI,1.0,1,single_facility_jaccard,same_state,1.0,211249717.0
