rpt_rec_num,ccn,hosp_name,state,ctrl_type,total_costs,fed_income_tax_avoided,state_income_tax_avoided,property_tax_avoided,sales_tax_avoided,futa_avoided,charitable_deduction_value,bond_interest_subsidy,total_tax_exemption_value,s10_charity_care_at_cost,s10_total_uncomp_care_cost,community_benefit_narrow,community_benefit_broad,community_benefit_full_schedule_h,community_benefit_source,ein_used,allocation_share,match_type,match_jaccard,sh_line_7a_charity,sh_line_7b_medicaid,sh_line_7c_means_tested,sh_line_7e_community_health,sh_line_7g_subsidized,sh_line_7i_cash_inkind,gap_narrow,gap_broad,fails_narrow_test,fails_broad_test,tax_exempt_share_of_expenses,charity_share_of_expenses
748727,421303,WILLIAMSBURG REGIONAL HOSPITAL,SC,2,8158659.0,0.0,0.0,85257.98654999999,107694.2988,5775.000000000001,26923.574699999997,21158.159854141562,246809.01990414155,0.0,654829.0,0.0,1853135.0,1853135.0,schedule_h_per_filer,570468486,1.0,single_facility_jaccard,1.0,269919.0,1583216.0,0.0,0.0,0.0,0.0,246809.01990414155,0.0,True,False,0.03025117484431468,0.0
749926,313030,BACHARACH INSTITUTE FOR REHABILITATI,NJ,2,9007164.0,0.0,0.0,94124.86379999998,131378.494104,18480.0,29723.6412,23358.620055632808,297065.61915963277,0.0,0.0,0.0,0.0,0.0,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297065.61915963277,297065.61915963277,True,True,0.0329810381114003,0.0
759187,140167,IROQUOIS MEMORIAL HOSPITAL,IL,2,24536917.0,426793.29,193073.155,256410.78264999998,337382.60875,5775.000000000001,6706.7517,63632.51757596481,1289774.1056759646,108936.0,6460265.0,108936.0,4517762.0,4517762.0,schedule_h_per_filer,370673512,1.0,single_facility_jaccard,1.0,96782.0,4420980.0,0.0,0.0,0.0,0.0,1180838.1056759646,0.0,True,False,0.05256463579658213,0.004439677568294338
759615,500148,WENATCHEE VALLEY HOSPITAL,WA,2,121791865.0,1071363.3,0.0,1272724.9892499999,1741623.6695,2541.0,16835.709,315847.46324169554,4420936.130991695,536935.0,5975674.0,536935.0,15009741.0,15009741.0,schedule_h_per_filer,455563741,1.0,single_facility_jaccard,1.0,1854000.0,5060967.0,0.0,0.0,8094774.0,0.0,3884001.1309916954,0.0,True,False,0.03629910857339852,0.0044086277847867755
761425,050660,USC NORRIS CANCER HOSPITAL,CA,2,481568082.0,25282324.305,10642654.612200001,5032386.4569,7681010.907899999,13860.0,456537.0414,1248868.773607078,50357642.09700707,0.0,0.0,0.0,0.0,0.0,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50357642.09700707,50357642.09700707,True,True,0.10457014071170745,0.0
763688,180106,THE MEDICAL CENTER OF ALBANY,KY,2,6832583.0,0.0,0.0,71400.49234999999,90190.0956,4620.0,22547.5239,17719.196663408788,206477.30851340876,78414.0,200960.0,78414.0,196035.0,196035.0,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128063.30851340876,10442.30851340876,True,True,0.030219509739348758,0.011476479685647434
764167,123025,REHABILITATION HOSPITAL OF THE PACIF,HI,2,48497319.0,356766.69,108728.89600000001,506796.98354999995,426776.4072,18942.0,5606.3337,125769.93693440266,1549387.2473844027,0.0,0.0,0.0,0.0,0.0,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1549387.2473844027,1549387.2473844027,True,True,0.03194789483897868,0.0
764226,471301,GIFFORD MEDICAL CENTER,VT,2,51182346.0,0.0,0.0,534855.5156999999,675606.9672,5775.000000000001,168901.7418,132733.11930036332,1517872.344000363,366704.0,8253563.0,366704.0,5143092.0,5194741.0,schedule_h_per_filer,030179418,1.0,single_facility_jaccard,1.0,1557841.0,3198131.0,0.0,237988.0,0.0,149132.0,1151168.344000363,0.0,True,False,0.02965616980511919,0.007164657907630885
764368,521348,VERNON MEMORIAL HOSPITAL,WI,2,64905216.0,1968327.27,740465.973,678259.5071999999,713957.376,4158.0,57905.905199999994,168321.158599175,4331395.189999174,993607.0,3460041.0,993607.0,3778416.0,4543845.0,schedule_h_per_filer,390806404,1.0,single_facility_jaccard,1.0,858093.0,2197012.0,0.0,124819.0,531836.0,66656.0,3337788.1899991743,552979.1899991743,True,True,0.06673416185841172,0.015308584752263979
764521,201312,WALDO COUNTY GENERAL HOSPITAL,ME,2,107531557.0,3323248.53,1391016.8847,1123704.7706499998,1301131.8397,5775.000000000001,52249.3323,278865.66559170256,7475992.022941702,1405312.0,9054128.0,1405312.0,10180884.109536316,14416038.62279531,schedule_h_per_filer,010238552,0.0388,system_keyword,1.0,1471488.5157650565,3200334.52557242,0.0,699214.6898834774,4746997.509494834,62848.86882052982,6070680.022941702,0.0,True,False,0.06952370291580268,0.01306883336581837
764600,220084,EMERSON HOSPITAL,MA,2,344863092.0,0.0,0.0,3603819.3113999995,4741867.515,25641.0,1138048.2036,894346.5376270203,10403722.56762702,2571967.0,11547641.0,2571967.0,10406617.0,10406617.0,schedule_h_per_filer,042103565,1.0,single_facility_jaccard,1.0,3623855.0,4779120.0,1559753.0,443889.0,0.0,0.0,7831755.56762702,0.0,True,False,0.030167689175700542,0.007457936380156332
764624,301303,WEEKS MEDICAL CENTER,NH,2,78327523.0,101997.42,36427.65,818522.6153499999,0.0,5775.000000000001,4967.6088,203129.7364693082,1170820.0306193081,277008.0,2951088.0,277008.0,17772469.0,17772469.0,schedule_h_per_filer,020222242,1.0,single_facility_jaccard,1.0,190787.0,6367234.0,0.0,0.0,11033975.0,180473.0,893812.0306193081,0.0,True,False,0.014947747429971814,0.003536534661002876
764672,491302,CARILION GILES COMMUNITY HOSPITAL,VA,2,84415187.0,286059.48,81731.28,882138.7041499999,984281.08042,5775.000000000001,2954.028,218917.1064341888,2461856.6790041886,397730.0,5459450.0,397730.0,2095625.0,2095625.0,schedule_h_per_filer,540549603,1.0,single_facility_jaccard,1.0,744328.0,1151508.0,0.0,144807.0,0.0,54982.0,2064126.6790041886,366231.6790041886,True,True,0.02916367026473789,0.0047115929506855204
764673,491304,CARILION ROCKBRIDGE COMMUNITY HOSP,VA,2,56045067.0,2069933.25,591409.5,585670.9501499999,653485.48122,5775.000000000001,31198.444199999998,145343.79811952845,4082816.4236895284,559566.0,3872716.0,559566.0,3027911.0,3027911.0,schedule_h_per_filer,540568001,1.0,single_facility_jaccard,0.75,747091.0,2098784.0,0.0,138481.0,0.0,43555.0,3523250.4236895284,1054905.4236895284,True,True,0.07284880975678963,0.009984215024669344
764718,201302,LINCOLNHEALTH,ME,2,114735755.0,0.0,0.0,1198988.6397499999,1388302.6354999999,5775.000000000001,378627.9915,297548.58553049236,3269242.8522804924,2074336.0,15670927.0,2074336.0,5185840.0,5185840.0,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1194906.8522804924,0.0,True,False,0.028493670977111647,0.018079246526072016
