rpt_rec_num,ccn,hosp_name,state,total_costs,s10_charity_care_at_cost,s10_total_bad_debt_cost,s10_total_uncomp_care_cost,community_benefit_narrow,community_benefit_broad,community_benefit_full_schedule_h,community_benefit_source,ein_used,allocation_share,match_type,match_jaccard,sh_line_7a_charity,sh_line_7b_medicaid,sh_line_7c_means_tested,sh_line_7e_community_health,sh_line_7g_subsidized,sh_line_7i_cash_inkind
748727,421303,WILLIAMSBURG REGIONAL HOSPITAL,SC,8158659.0,0.0,41800.0,654829.0,0.0,1853135.0,1853135.0,schedule_h_per_filer,570468486,1.0,single_facility_jaccard,1.0,269919.0,1583216.0,0.0,0.0,0.0,0.0
749926,313030,BACHARACH INSTITUTE FOR REHABILITATI,NJ,9007164.0,0.0,0.0,0.0,0.0,0.0,0.0,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0
759187,140167,IROQUOIS MEMORIAL HOSPITAL,IL,24536917.0,108936.0,12165.0,6460265.0,108936.0,4517762.0,4517762.0,schedule_h_per_filer,370673512,1.0,single_facility_jaccard,1.0,96782.0,4420980.0,0.0,0.0,0.0,0.0
759615,500148,WENATCHEE VALLEY HOSPITAL,WA,121791865.0,536935.0,212563.0,5975674.0,536935.0,15009741.0,15009741.0,schedule_h_per_filer,455563741,1.0,single_facility_jaccard,1.0,1854000.0,5060967.0,0.0,0.0,8094774.0,0.0
761425,050660,USC NORRIS CANCER HOSPITAL,CA,481568082.0,0.0,0.0,0.0,0.0,0.0,0.0,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0
763688,180106,THE MEDICAL CENTER OF ALBANY,KY,6832583.0,78414.0,51269.0,200960.0,78414.0,196035.0,196035.0,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764167,123025,REHABILITATION HOSPITAL OF THE PACIF,HI,48497319.0,0.0,0.0,0.0,0.0,0.0,0.0,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764226,471301,GIFFORD MEDICAL CENTER,VT,51182346.0,366704.0,0.0,8253563.0,366704.0,5143092.0,5194741.0,schedule_h_per_filer,030179418,1.0,single_facility_jaccard,1.0,1557841.0,3198131.0,0.0,237988.0,0.0,149132.0
764368,521348,VERNON MEMORIAL HOSPITAL,WI,64905216.0,993607.0,518351.0,3460041.0,993607.0,3778416.0,4543845.0,schedule_h_per_filer,390806404,1.0,single_facility_jaccard,1.0,858093.0,2197012.0,0.0,124819.0,531836.0,66656.0
764521,201312,WALDO COUNTY GENERAL HOSPITAL,ME,107531557.0,1405312.0,648226.0,9054128.0,1405312.0,10180884.109536316,14416038.62279531,schedule_h_per_filer,010238552,0.0388,system_keyword,1.0,1471488.5157650565,3200334.52557242,0.0,699214.6898834774,4746997.509494834,62848.86882052982
764600,220084,EMERSON HOSPITAL,MA,344863092.0,2571967.0,592710.0,11547641.0,2571967.0,10406617.0,10406617.0,schedule_h_per_filer,042103565,1.0,single_facility_jaccard,1.0,3623855.0,4779120.0,1559753.0,443889.0,0.0,0.0
764624,301303,WEEKS MEDICAL CENTER,NH,78327523.0,277008.0,0.0,2951088.0,277008.0,17772469.0,17772469.0,schedule_h_per_filer,020222242,1.0,single_facility_jaccard,1.0,190787.0,6367234.0,0.0,0.0,11033975.0,180473.0
764672,491302,CARILION GILES COMMUNITY HOSPITAL,VA,84415187.0,397730.0,223206.0,5459450.0,397730.0,2095625.0,2095625.0,schedule_h_per_filer,540549603,1.0,single_facility_jaccard,1.0,744328.0,1151508.0,0.0,144807.0,0.0,54982.0
764673,491304,CARILION ROCKBRIDGE COMMUNITY HOSP,VA,56045067.0,559566.0,279859.0,3872716.0,559566.0,3027911.0,3027911.0,schedule_h_per_filer,540568001,1.0,single_facility_jaccard,0.75,747091.0,2098784.0,0.0,138481.0,0.0,43555.0
764718,201302,LINCOLNHEALTH,ME,114735755.0,2074336.0,215242.0,15670927.0,2074336.0,5185840.0,5185840.0,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764743,301307,MEMORIAL HOSPITAL,NH,90895590.0,1200292.0,138176.0,3637645.0,1200292.0,3000730.0,3000730.0,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764744,301310,ANDROSCOGGIN VALLEY HOSPITAL,NH,68021336.0,566044.0,0.0,3832756.0,566044.0,2518862.0,2518862.0,schedule_h_per_filer,020280367,1.0,single_facility_jaccard,1.0,426201.0,2092661.0,0.0,0.0,0.0,0.0
764776,521343,STOUGHTON HOSPITAL ASSOCIATION,WI,46801575.0,450701.0,164835.0,2401153.0,450701.0,3832411.0,4391927.0,schedule_h_per_filer,390832914,1.0,single_facility_jaccard,1.0,200000.0,2075277.0,0.0,626451.0,859357.0,71326.0
764823,201315,STEPHENS MEMORIAL HOSPITAL - CAH,ME,95093499.0,1601413.0,235290.0,4979534.0,1601413.0,9003272.340688862,12748551.14727621,schedule_h_per_filer,010238552,0.0343,system_keyword,1.0,1301283.0429156334,2830155.3190305466,0.0,618337.2887757941,4197917.481304111,55579.20866277593
764876,521316,TRI-COUNTY MEMORIAL HOSPITAL  INC.,WI,24645442.0,357724.0,86302.0,3190017.0,357724.0,2704398.0,2704398.0,schedule_h_per_filer,390704510,1.0,single_facility_jaccard,1.0,307445.0,2018950.0,0.0,5909.0,250685.0,121409.0
764909,074008,NATCHAUG HOSPITAL,CT,50060527.0,0.0,0.0,0.0,0.0,9562969.0,10261387.0,schedule_h_per_filer,060966963,1.0,single_facility_jaccard,1.0,101244.0,6393200.0,0.0,593097.0,2466079.0,9349.0
764965,301302,LITTLETON REGIONAL HEALTHCARE,NH,96650361.0,734647.0,0.0,3490015.0,734647.0,1836617.5,1836617.5,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765001,441305,MACON COUNTY GENERAL HOSPITAL,TN,19405019.0,1171419.0,226271.0,1555893.0,1171419.0,2928547.5,2928547.5,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765049,100134,ED FRASER MEMORIAL HOSPITAL,FL,34402206.0,1396738.0,32780.0,1870958.0,1396738.0,3491845.0,3491845.0,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765057,100253,JUPITER MEDICAL CENTER,FL,383009608.0,3137238.0,121220.0,17649868.0,3137238.0,34859003.0,34859003.0,schedule_h_per_filer,591460239,1.0,single_facility_jaccard,1.0,6414626.0,15926771.0,152257.0,1044803.0,11320546.0,0.0
765083,141337,OSF SAINT CLARE MEDICAL CENTER,IL,40783528.0,577959.0,262691.0,3971994.0,577959.0,2955529.203451271,2963269.983187047,schedule_h_per_filer,840405257,0.0133,system_keyword,1.0,515809.3643333196,2379922.781950235,62.55434106529092,19596.067255482754,1719.8977439869543,38418.537827181724
765120,341320,ALLEGHANY MEMORIAL HOSPITAL,NC,14748154.0,460860.0,3243.0,1606583.0,460860.0,1152150.0,1152150.0,hcris_s10_with_uplift,,0.0,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0
