rpt_rec_num,ccn,hosp_name,state,ctrl_type,total_costs,op_revenue,net_income_raw,net_income_positive,ni_outlier_capped,beds_available,fte_proxy,fed_income_tax_avoided,state_income_tax_avoided,property_tax_avoided,sales_tax_avoided,futa_avoided,charitable_deduction_value,subtotal_pre_bond,bond_interest_subsidy,total_tax_exemption_value
748727,421303,WILLIAMSBURG REGIONAL HOSPITAL,SC,2,8158659.0,8158659.0,-3260557.0,0.0,False,25.0,137.5,0.0,0.0,85257.98654999999,107694.2988,5775.000000000001,26923.574699999997,225650.86005,21158.159854141562,246809.01990414155
749926,313030,BACHARACH INSTITUTE FOR REHABILITATI,NJ,2,9007164.0,9007164.0,-4070092.0,0.0,False,80.0,440.0,0.0,0.0,94124.86379999998,131378.494104,18480.0,29723.6412,273706.999104,23358.620055632808,297065.61915963277
759187,140167,IROQUOIS MEMORIAL HOSPITAL,IL,2,24536917.0,2032349.0,2032349.0,2032349.0,False,25.0,137.5,426793.29,193073.155,256410.78264999998,337382.60875,5775.000000000001,6706.7517,1226141.5880999998,63632.51757596481,1289774.1056759646
759615,500148,WENATCHEE VALLEY HOSPITAL,WA,2,121791865.0,5101730.0,5101730.0,5101730.0,False,11.0,60.5,1071363.3,0.0,1272724.9892499999,1741623.6695,2541.0,16835.709,4105088.66775,315847.46324169554,4420936.130991695
761425,050660,USC NORRIS CANCER HOSPITAL,CA,2,481568082.0,138344558.0,138344523.0,120392020.5,True,60.0,330.0,25282324.305,10642654.612200001,5032386.4569,7681010.907899999,13860.0,456537.0414,49108773.3234,1248868.773607078,50357642.09700707
763688,180106,THE MEDICAL CENTER OF ALBANY,KY,2,6832583.0,6832583.0,-399186.0,0.0,False,20.0,110.0,0.0,0.0,71400.49234999999,90190.0956,4620.0,22547.5239,188758.11185,17719.196663408788,206477.30851340876
764167,123025,REHABILITATION HOSPITAL OF THE PACIF,HI,2,48497319.0,1698889.0,1698889.0,1698889.0,False,82.0,451.0,356766.69,108728.89600000001,506796.98354999995,426776.4072,18942.0,5606.3337,1423617.31045,125769.93693440266,1549387.2473844027
764226,471301,GIFFORD MEDICAL CENTER,VT,2,51182346.0,51182346.0,-2511825.0,0.0,False,25.0,137.5,0.0,0.0,534855.5156999999,675606.9672,5775.000000000001,168901.7418,1385139.2246999997,132733.11930036332,1517872.344000363
764368,521348,VERNON MEMORIAL HOSPITAL,WI,2,64905216.0,17547244.0,9372987.0,9372987.0,False,18.0,99.0,1968327.27,740465.973,678259.5071999999,713957.376,4158.0,57905.905199999994,4163074.0313999997,168321.158599175,4331395.189999174
764521,201312,WALDO COUNTY GENERAL HOSPITAL,ME,2,107531557.0,15833131.0,15824993.0,15824993.0,False,25.0,137.5,3323248.53,1391016.8847,1123704.7706499998,1301131.8397,5775.000000000001,52249.3323,7197126.357349999,278865.66559170256,7475992.022941702
764600,220084,EMERSON HOSPITAL,MA,2,344863092.0,344863092.0,-8969481.0,0.0,False,111.0,610.5,0.0,0.0,3603819.3113999995,4741867.515,25641.0,1138048.2036,9509376.03,894346.5376270203,10403722.56762702
764624,301303,WEEKS MEDICAL CENTER,NH,2,78327523.0,1505336.0,485702.0,485702.0,False,25.0,137.5,101997.42,36427.65,818522.6153499999,0.0,5775.000000000001,4967.6088,967690.29415,203129.7364693082,1170820.0306193081
764672,491302,CARILION GILES COMMUNITY HOSPITAL,VA,2,84415187.0,895160.0,1362188.0,1362188.0,False,25.0,137.5,286059.48,81731.28,882138.7041499999,984281.08042,5775.000000000001,2954.028,2242939.57257,218917.1064341888,2461856.6790041886
764673,491304,CARILION ROCKBRIDGE COMMUNITY HOSP,VA,2,56045067.0,9454074.0,9856825.0,9856825.0,False,25.0,137.5,2069933.25,591409.5,585670.9501499999,653485.48122,5775.000000000001,31198.444199999998,3937472.6255699997,145343.79811952845,4082816.4236895284
764718,201302,LINCOLNHEALTH,ME,2,114735755.0,114735755.0,-28837753.0,0.0,False,25.0,137.5,0.0,0.0,1198988.6397499999,1388302.6354999999,5775.000000000001,378627.9915,2971694.26675,297548.58553049236,3269242.8522804924
764743,301307,MEMORIAL HOSPITAL,NH,2,90895590.0,9597024.0,9597024.0,9597024.0,False,25.0,137.5,2015375.04,719776.7999999999,949858.9155,0.0,5775.000000000001,31670.1792,3722455.9347,235722.98134491354,3958178.9160449137
764744,301310,ANDROSCOGGIN VALLEY HOSPITAL,NH,2,68021336.0,10974774.0,10974774.0,10974774.0,False,25.0,137.5,2304702.54,823108.0499999999,710822.9611999999,0.0,5775.000000000001,36216.754199999996,3880625.3053999995,176402.31079400107,4057027.6161940005
764776,521343,STOUGHTON HOSPITAL ASSOCIATION,WI,2,46801575.0,12999701.0,12999701.0,11700393.75,True,20.0,110.0,2457082.6875,924331.10625,489076.45875,514817.32500000007,4620.0,42899.0133,4432826.5908,121372.29969724132,4554198.890497242
