state,n_hospitals,n_fails_narrow,n_fails_broad,total_costs,total_tax_exemption,total_charity_care,total_community_benefit_broad,total_gap_narrow,total_gap_broad,pct_fails_narrow,pct_fails_broad,gap_narrow_bil,gap_broad_bil
CA,205,203,104,99357237174.0,5683841181.045358,933682050.0,6291510671.672824,4760618388.141039,1468381650.0411315,99.02439024390245,50.73170731707317,4.760618388141039,1.4683816500411315
PA,142,142,78,52538561796.0,2721361019.989083,505498113.0,2434861956.0,2215862906.989083,1026758029.5845098,100.0,54.929577464788736,2.215862906989083,1.0267580295845098
IL,154,142,77,42839288203.0,2504491331.4459553,678348228.0,3049327839.1415873,1857450575.5118597,865001710.1384289,92.20779220779221,50.0,1.8574505755118595,0.865001710138429
FL,97,63,26,46339014320.0,2955485045.063218,1632251804.0,4035573454.1298103,1497683535.5509255,850005446.7164035,64.94845360824742,26.804123711340207,1.4976835355509255,0.8500054467164034
KY,79,79,64,17384643582.0,1042733412.0490482,169319654.0,554031412.6921601,873413758.0490482,619959089.4329377,100.0,81.0126582278481,0.8734137580490482,0.6199590894329378
TX,137,52,34,43504279189.0,2274546053.967155,2454846871.0,5980140200.322775,664626778.7903479,539475205.370503,37.956204379562045,24.817518248175183,0.6646267787903479,0.539475205370503
OH,141,136,63,50009187168.0,2470829262.3553686,649679412.0,3574367378.3637853,1840069634.4453344,539002201.943948,96.45390070921985,44.680851063829785,1.8400696344453344,0.539002201943948
MI,117,117,77,29634820093.0,1300809515.1843853,254596962.0,1312420313.6923428,1046212553.1843853,516950000.5139863,100.0,65.8119658119658,1.0462125531843853,0.5169500005139863
NY,140,135,49,81081656766.0,3120274986.2339535,831505012.0,7700204973.420541,2295730036.1416836,515124362.8852764,96.42857142857143,35.0,2.2957300361416837,0.5151243628852764
MA,56,55,24,35354109932.0,1503268374.628803,285157914.0,2318054283.1060224,1257663676.6157055,441704894.1263067,98.21428571428571,42.857142857142854,1.2576636766157054,0.4417048941263067
NJ,57,43,21,28264411311.0,1574425171.642843,818711000.0,2250505657.0607147,923206424.5002761,403305716.94534564,75.43859649122807,36.8421052631579,0.9232064245002761,0.4033057169453456
WI,125,120,67,21652964072.0,1099905984.5856807,225394087.0,1358828324.0017078,888356395.4503232,399087891.21956587,96.0,53.6,0.8883563954503232,0.3990878912195659
LA,39,34,22,13319288324.0,805122759.3570588,254135574.0,891194271.0,602675743.1192472,330835384.47963774,87.17948717948718,56.41025641025641,0.6026757431192472,0.33083538447963773
VA,61,59,37,19898232263.0,1296988627.5740788,459701726.0,1192580654.5165086,840899648.6714946,326011564.9950187,96.72131147540983,60.65573770491803,0.8408996486714946,0.3260115649950187
IN,86,81,46,20202643838.0,1397280224.800407,315273556.0,1778953869.8499777,1085367402.7567828,321403114.06437457,94.18604651162791,53.48837209302326,1.0853674027567828,0.32140311406437455
AZ,47,44,23,18069279710.0,953272144.3839045,242427906.0,1087895383.463664,712024178.4796526,292959633.346417,93.61702127659575,48.93617021276596,0.7120241784796526,0.292959633346417
MD,49,48,24,18457341937.0,743504987.588281,94606496.0,811476958.5,650422437.4499687,285573208.7219697,97.95918367346938,48.97959183673469,0.6504224374499687,0.28557320872196973
GA,74,36,20,24405236145.0,1411729639.7615528,1122218614.0,2546540806.5,493614143.6522741,210391181.3557281,48.648648648648646,27.027027027027028,0.4936141436522741,0.2103911813557281
MN,105,104,59,18844614121.0,808990038.0009843,159901285.0,1188028123.6128092,649143979.906296,206605266.45078245,99.04761904761905,56.19047619047619,0.649143979906296,0.20660526645078245
HI,16,16,13,3971087544.0,248618450.64010596,15968689.0,128359633.54689711,232649761.64010596,184969893.99260777,100.0,81.25,0.23264976164010595,0.18496989399260777
IA,56,52,38,7225951499.0,394058461.2231374,88377107.0,324892403.0,305994831.4552766,181673634.71757656,92.85714285714286,67.85714285714286,0.3059948314552766,0.18167363471757655
MO,67,56,24,21819408903.0,1026166796.1416682,475566538.0,1527172248.5,590490665.1168159,150168070.0617018,83.58208955223881,35.82089552238806,0.5904906651168159,0.1501680700617018
DE,7,5,2,4832047056.0,248508774.13888398,54536504.0,172289602.0,196892730.79569283,134074539.77366377,71.42857142857143,28.571428571428573,0.19689273079569283,0.13407453977366376
SC,31,19,10,9347935801.0,430955245.81437105,399576593.0,824066044.9754174,124524192.25217383,112358910.60063209,61.29032258064516,32.25806451612903,0.12452419225217383,0.11235891060063209
