canonical_specialty,primary_care_flag,fte_count,us_comp_per_fte_usd,oecd_median_comp_usd_ppp,raw_gap_per_fte_usd,productivity_norm_factor,normalized_gap_per_fte_usd,total_gap_usd,total_gap_bil
Anesthesiology,False,41890,336640,176672.72999999998,159967.27000000002,0.7714285714285715,123403.3225714286,5169365182.517144,5.1693651825171445
Cardiology,False,18020,432490,176672.72999999998,255817.27000000002,0.7714285714285715,197344.75114285716,3556152415.594286,3.556152415594286
Dermatology,False,10080,347810,176672.72999999998,171137.27000000002,0.7714285714285715,132020.17971428574,1330763411.5200002,1.3307634115200002
Emergency Medicine,False,33680,320700,176672.72999999998,144027.27000000002,0.7714285714285715,111106.75114285716,3742075378.4914293,3.742075378491429
Family Medicine,True,107950,256830,154663.78,102166.22,0.7714285714285715,78813.94114285715,8507964946.371429,8.507964946371429
Internal Medicine,True,66640,262710,154663.78,108046.22,0.7714285714285715,83349.94114285715,5554440077.76,5.55444007776
Neurology,False,7700,286310,176672.72999999998,109637.27000000002,0.7714285714285715,84577.3225714286,651245383.8000002,0.6512453838000002
OB/GYN,False,19900,281130,176672.72999999998,104457.27000000002,0.7714285714285715,80581.3225714286,1603568319.171429,1.603568319171429
Ophthalmology,False,12110,301500,176672.72999999998,124827.27000000002,0.7714285714285715,96295.3225714286,1166136356.3400004,1.1661363563400005
Orthopedic Surgery,False,14160,365060,176672.72999999998,188387.27000000002,0.7714285714285715,145327.32257142858,2057834887.6114287,2.0578348876114285
Pathology,False,11800,266020,176672.72999999998,89347.27000000002,0.7714285714285715,68925.03685714287,813315434.9142859,0.8133154349142859
Pediatrics,True,42960,222340,154663.78,67676.22,0.7714285714285715,52207.36971428572,2242828602.9257145,2.2428286029257145
"Physicians, all other",False,315360,253470,176672.72999999998,76797.27000000002,0.7714285714285715,59243.608285714305,18683064308.982864,18.683064308982864
Psychiatry,False,24800,269120,176672.72999999998,92447.27000000002,0.7714285714285715,71316.46542857145,1768648342.628572,1.768648342628572
Radiology,False,26290,359820,176672.72999999998,183147.27000000002,0.7714285714285715,141285.03685714287,3714383618.974286,3.7143836189742863
"Surgeons, all other",False,24080,371280,176672.72999999998,194607.27000000002,0.7714285714285715,150125.60828571432,3615024647.520001,3.6150246475200007
