family,medicare_allowed_total_usd,commercial_spending_est_usd,commercial_mult,revaluation_direction,reval_pct,commercial_savings_usd,medicare_savings_usd,n_codes,volume
OTHER,48702100372.33736,87663780670.20724,1.8,neutral,0.0,0.0,0.0,1761,2095553291.5999997
EM,42056998013.34672,41215858053.07978,1.4,upward,0.1,-4121585805.307978,0.0,181,397049296.4
PROC_OTHER,29677633236.34886,103871716327.22102,2.5,neutral,0.0,0.0,0.0,4162,504635165.0999999
PATH_LAB,8274208589.920751,17872290554.22882,1.8,neutral,0.0,0.0,0.0,1523,334361597.1999999
IMAGING,7979686232.360196,29046057885.79111,2.8,neutral,0.0,0.0,0.0,1089,124714379.9
PROC_ORTHO,4818886258.002392,30358983425.41507,3.5,downward,0.1,3035898342.5415072,0.0,2096,14906674.5
PROC_OPHTH,4031658116.575284,13546371271.692953,2.8,downward,0.1,1354637127.1692953,0.0,475,16125170.8
PROC_CARD,3103289707.5061283,15888843302.43138,3.2,downward,0.1,1588884330.243138,0.0,733,44515476.9
PROC_GI,2303321320.7703714,10364945943.466671,3.0,downward,0.1,1036494594.3466672,0.0,1039,8108735.0
ANESTH,2165005845.9803276,9093024553.117374,2.8,neutral,0.0,0.0,0.0,404,14271112.1
