REF_AREA,HEALTH_PROF,WORKER_STATUS,TIME_PERIOD,OBS_VALUE,oecd_18_peer
AUS,EMPLGENP,ICSE93_2T5,2023,128394.99,True
AUS,EMPLSPMP,ICSE93_2T5,2023,217970.79,True
AUT,EMPLGENP,ICSE93_2T5,2021,222660.64,True
AUT,EMPLSPMP,ICSE93_2T5,2021,288335.77,True
BEL,EMPLGENP,ICSE93_2T5,2023,165670.22,True
BEL,EMPLSPMP,ICSE93_1,2023,170182.37,True
BEL,EMPLSPMP,ICSE93_2T5,2023,365786.67,True
BGR,EMPLSPMP,ICSE93_1,2022,55056.91,False
CAN,EMPLGENP,ICSE93_2T5,2022,174275.31,True
CAN,EMPLSPMP,ICSE93_2T5,2022,278015.08,True
CHE,EMPLGENP,ICSE93_2T5,2022,233101.42,True
CHE,EMPLSPMP,ICSE93_2T5,2022,247628.48,True
CHL,EMPLGENP,ICSE93_1,2023,91358.58,False
CHL,EMPLSPMP,ICSE93_1,2023,152455.35,False
COL,EMPLGENP,ICSE93_1,2023,45851.56,False
COL,EMPLSPMP,ICSE93_1,2023,73897.01,False
CRI,EMPLGENP,ICSE93_1,2020,67210.58,False
CRI,EMPLSPMP,ICSE93_1,2020,75096.65,False
CZE,EMPLGENP,ICSE93_1,2023,70077.67,False
CZE,EMPLSPMP,ICSE93_1,2023,85960.58,False
DEU,EMPLGENP,ICSE93_2T5,2023,258643.8,True
DEU,EMPLSPMP,ICSE93_1,2023,207049.05,True
DEU,EMPLSPMP,ICSE93_2T5,2023,317609.22,True
DNK,EMPLSPMP,ICSE93_1,2023,162829.13,True
ESP,EMPLGENP,ICSE93_1,2023,123876.16,False
ESP,EMPLSPMP,ICSE93_1,2023,132652.09,False
EST,EMPLGENP,ICSE93_1,2023,61707.51,False
EST,EMPLGENP,ICSE93_2T5,2023,141835.47,False
EST,EMPLSPMP,ICSE93_1,2023,81773.06,False
FIN,EMPLGENP,ICSE93_1,2023,117650.22,True
FIN,EMPLSPMP,ICSE93_1,2023,142944.82,True
FRA,EMPLSPMP,ICSE93_1,2021,115323.15,True
GBR,EMPLGENP,ICSE93_1,2022,98828.91,True
GBR,EMPLGENP,ICSE93_2T5,2022,200228.51,True
GBR,EMPLSPMP,ICSE93_1,2020,161717.02,True
GRC,EMPLSPMP,ICSE93_1,2023,74517.03,False
HRV,EMPLGENP,ICSE93_1,2022,61766.64,False
HRV,EMPLSPMP,ICSE93_1,2022,96524.94,False
HUN,EMPLGENP,ICSE93_1,2023,114637.5,False
HUN,EMPLSPMP,ICSE93_1,2023,152392.74,False
IRL,EMPLGENP,ICSE93_2T5,2022,157691.48,True
IRL,EMPLSPMP,ICSE93_1,2023,190516.33,True
ISL,EMPLGENP,ICSE93_1,2021,149549.96,True
ISL,EMPLSPMP,ICSE93_1,2021,158407.21,True
ISR,EMPLGENP,ICSE93_1,2023,70185.62,False
ISR,EMPLGENP,ICSE93_2T5,2023,103996.78,False
ISR,EMPLSPMP,ICSE93_1,2023,157086.91,False
ISR,EMPLSPMP,ICSE93_2T5,2023,198101.21,False
ITA,EMPLSPMP,ICSE93_1,2023,117954.21,True
KOR,EMPLGENP,ICSE93_1,2020,91075.73,True
KOR,EMPLGENP,ICSE93_2T5,2020,132427.81,True
KOR,EMPLSPMP,ICSE93_1,2020,194856.84,True
KOR,EMPLSPMP,ICSE93_2T5,2020,302067.39,True
LTU,EMPLGENP,ICSE93_1,2022,75582.49,False
LTU,EMPLSPMP,ICSE93_1,2022,91807.59,False
LVA,EMPLGENP,ICSE93_1,2022,58152.71,False
LVA,EMPLSPMP,ICSE93_1,2022,80791.17,False
MEX,EMPLGENP,ICSE93_1,2023,49101.48,False
MEX,EMPLSPMP,ICSE93_1,2023,64688.91,False
NLD,EMPLGENP,ICSE93_1,2023,156889.61,True
NLD,EMPLGENP,ICSE93_2T5,2022,152437.95,True
NLD,EMPLSPMP,ICSE93_1,2023,228482.1,True
NLD,EMPLSPMP,ICSE93_2T5,2022,216370.22,True
NOR,EMPLSPMP,ICSE93_1,2023,132548.99,True
NZL,EMPLSPMP,ICSE93_1,2023,150694.42,True
POL,EMPLGENP,ICSE93_1,2022,90563.88,False
POL,EMPLSPMP,ICSE93_1,2022,108357.26,False
PRT,EMPLGENP,ICSE93_1,2023,69350.73,False
PRT,EMPLSPMP,ICSE93_1,2023,73691.89,False
SVK,EMPLSPMP,ICSE93_1,2023,94930.3,False
SVN,EMPLGENP,ICSE93_1,2023,106379.41,False
SVN,EMPLSPMP,ICSE93_1,2023,106388.37,False
SWE,EMPLGENP,ICSE93_1,2023,128129.81,True
SWE,EMPLSPMP,ICSE93_1,2023,123396.99,True
TUR,EMPLGENP,ICSE93_1,2023,98119.57,False
TUR,EMPLSPMP,ICSE93_1,2023,146428.84,False
