canonical_specialty,primary_care_flag,fte_count,us_comp_per_fte_usd,medicare_payment_total_usd,component_a_raw_gap_bil,component_a_recoverable_bil,component_b_attribution
"Physicians, all other",False,315360,253470,17636669711.370007,18.683064308982864,10.275685369940575,system-level mix shift (not per-specialty)
Family Medicine,True,107950,256830,5265332572.459993,8.507964946371429,4.6793807205042866,system-level mix shift (not per-specialty)
Internal Medicine,True,66640,262710,9496714636.399927,5.55444007776,3.0549420427680003,system-level mix shift (not per-specialty)
Anesthesiology,False,41890,336640,1798457574.2499948,5.1693651825171445,2.8431508503844296,system-level mix shift (not per-specialty)
Emergency Medicine,False,33680,320700,2022982546.4600089,3.742075378491429,2.058141458170286,system-level mix shift (not per-specialty)
Radiology,False,26290,359820,6155699296.730026,3.7143836189742863,2.0429109904358578,system-level mix shift (not per-specialty)
"Surgeons, all other",False,24080,371280,6674209635.409989,3.6150246475200007,1.9882635561360005,system-level mix shift (not per-specialty)
Cardiology,False,18020,432490,3699996769.8499994,3.556152415594286,1.9558838285768576,system-level mix shift (not per-specialty)
Pediatrics,True,42960,222340,87440041.75000016,2.2428286029257145,1.233555731609143,system-level mix shift (not per-specialty)
Orthopedic Surgery,False,14160,365060,2797377647.200002,2.0578348876114285,1.1318091881862857,system-level mix shift (not per-specialty)
Psychiatry,False,24800,269120,670789972.4499958,1.768648342628572,0.9727565884457147,system-level mix shift (not per-specialty)
OB/GYN,False,19900,281130,406261826.85000145,1.603568319171429,0.881962575544286,system-level mix shift (not per-specialty)
Dermatology,False,10080,347810,3266719398.2800207,1.3307634115200002,0.7319198763360002,system-level mix shift (not per-specialty)
Ophthalmology,False,12110,301500,8245418771.75994,1.1661363563400005,0.6413749959870003,system-level mix shift (not per-specialty)
Pathology,False,11800,266020,1106506477.5099933,0.8133154349142859,0.4473234892028573,system-level mix shift (not per-specialty)
Neurology,False,7700,286310,1665147401.9899876,0.6512453838000002,0.35818496109000014,system-level mix shift (not per-specialty)
