hcpcs_cd,modifier,description,status,work_rvu,pe_rvu_nf,pe_rvu_f,mp_rvu,total_rvu_nf,total_rvu_f,conversion_factor
0001F,,Heart failure composite,I,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
0005F,,Osteoarthritis composite,I,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00100,,Anesth salivary gland,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00102,,Anesth repair of cleft lip,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00103,,Anesth blepharoplasty,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00104,,Anesth electroshock,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00120,,Anesth ear surgery,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00124,,Anesth ear exam,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00126,,Anesth tympanotomy,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
0012F,,Cap bacterial assess,I,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00140,,Anesth procedures on eye,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00142,,Anesth lens surgery,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00144,,Anesth corneal transplant,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00145,,Anesth vitreoretinal surg,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00147,,Anesth iridectomy,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00148,,Anesth eye exam,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
0014F,,Comp preop assess cat surg,I,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
0015F,,Melan follow-up complete,I,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00160,,Anesth nose/sinus surgery,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00162,,Anesth nose/sinus surgery,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00164,,Anesth biopsy of nose,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00170,,Anesth procedure on mouth,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00172,,Anesth cleft palate repair,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00174,,Anesth pharyngeal surgery,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00176,,Anesth pharyngeal surgery,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00190,,Anesth face/skull bone surg,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00192,,Anesth facial bone surgery,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00210,,Anesth cranial surg nos,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00211,,Anesth cran surg hemotoma,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00212,,Anesth skull drainage,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00214,,Anesth skull drainage,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00215,,Anesth skull repair/fract,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00216,,Anesth head vessel surgery,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00218,,Anesth special head surgery,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00220,,Anesth intrcrn nerve,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00222,,Anesth head nerve surgery,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00300,,Anesth head/neck/ptrunk,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00320,,Anesth neck organ 1yr/>,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00322,,Anesth biopsy of thyroid,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00326,,Anesth larynx/trach < 1 yr,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00350,,Anesth neck vessel surgery,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00352,,Anesth neck vessel surgery,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00400,,Anesth skin ext/per/atrunk,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00402,,Anesth surgery of breast,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00404,,Anesth surgery of breast,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00406,,Anesth surgery of breast,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00410,,Anesth correct heart rhythm,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
0042T,,Ct perfusion w/contrast cbf,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00450,,Anesth surgery of shoulder,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00454,,Anesth collar bone biopsy,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00470,,Anesth removal of rib,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00472,,Anesth chest wall repair,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00474,,Anesth surgery of rib,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00500,,Anesth esophageal surgery,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00520,,Anesth chest procedure,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
00522,,Anesth chest lining biopsy,J,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
