hcpcs,category,OPPS_rate,PFS_office_rate,HOPD_prof_fee,HOPD_total,differential,HOPD_volume,eligible,eligibility_share,savings,description,booked
71045,imaging,88.05,25.23,8.41,96.46,71.23,12346629,1,1.0,879448161.2767799,X-ray exam chest 1 view,False
99214,clinic_visit,128.87,125.18,93.8,222.67,97.49,8122291,1,1.0,791873795.6628345,HOPD clinic visit via G0463 + facility 99214,True
78452,imaging,1305.48,408.86,72.13,1377.61,968.75,608942,1,1.0,589914349.74477,Ht muscle image spect mult,False
99213,clinic_visit,128.87,88.95,63.72,192.59,103.64,4704865,1,1.0,487610938.2864499,HOPD clinic visit via G0463 + facility 99213,True
74177,imaging,357.13,297.26,83.45,440.58,143.32,2816331,1,1.0,403635530.9591852,Ct abd & pelvis w/contrast,False
74176,imaging,241.72,180.82,79.25,320.97,140.15,1685210,1,1.0,236185535.06790003,Ct abd & pelvis w/o contrast,False
71046,imaging,88.05,32.67,10.03,98.08,65.41,3604774,1,1.0,235779075.16630003,X-ray exam chest 2 views,False
99215,clinic_visit,128.87,175.64,138.77,267.64,91.99,2432569,1,1.0,223784160.82931,HOPD clinic visit via G0463 + facility 99215,True
70450,imaging,106.34,105.13,38.82,145.16,40.03,4734739,1,1.0,189530091.40059748,Ct head/brain w/o dye,False
99204,clinic_visit,128.87,163.35,129.06,257.93,94.58,1234395,1,1.0,116752424.31045002,HOPD clinic visit via G0463 + facility 99204,True
20610,minor_proc,295.19,63.4,43.99,339.18,275.78,399500,1,1.0,110174948.95,Drain/inj joint/bursa w/o us,True
74018,imaging,88.05,29.11,8.41,96.46,67.35,1457033,1,1.0,98128608.17192,Radex abdomen 1 view,False
70553,imaging,357.13,314.08,104.8,461.93,147.85,636970,1,1.0,94174832.92064999,Mri brain stem w/o & w/dye,False
70551,imaging,241.72,193.43,67.28,309.0,115.57,800289,1,1.0,92488319.33985,Mri brain stem w/o dye,False
77080,imaging,106.34,38.17,9.06,115.4,77.23,1167343,1,1.0,90151740.30544999,Dxa bone density axial,False
71260,imaging,178.02,164.32,53.05,231.07,66.75,1233283,1,1.0,82319223.01532,Ct thorax dx c+,False
72148,imaging,241.72,188.26,67.6,309.32,121.07,540360,1,1.0,65420064.0198,Mri lumbar spine w/o dye,False
99212,clinic_visit,128.87,54.99,33.96,162.83,107.84,597578,1,1.0,64445664.95495,HOPD clinic visit via G0463 + facility 99212,True
99203,clinic_visit,128.87,109.01,79.25,208.12,99.11,618525,1,1.0,61302767.350499995,HOPD clinic visit via G0463 + facility 99203,True
